"Frequency","Product","Product1"
97600000,-17.310458703296405,-16.481168199639342
97800000,-12.408449353926541,-11.579128096185885
98000000,-51.101351075558725,-50.275687162082114
98200000,-10.731231349592285,-9.9019331129613324
98400000,-13.920056647312446,-13.090718846692821
98600000,-12.793199401837537,-11.963954024760897
98800000,-7.307963954986346,-6.4786765685952048
99000000,-45.244649522213443,-44.419077123589553
99200000,-3.8493669605350793,-3.0201799014939326
99400000,-5.557019473501672,-4.7278106523654904
99600000,-2.0509451245687633,-1.2222720185290903
99800000,8.2171992121869728,9.0445932614898599
100000000,-146.14367409308119,-145.33393236599801
100200000,8.1477120667434235,8.9751061167017951
100400000,-2.1899198575843797,-1.3612467498019278
100600000,-5.7654836102257825,-4.9362747901012236
100800000,-4.1273216026178776,-3.2981345411028955
101000000,-45.592077278414948,-44.76650533624651
101200000,-7.7249063702970737,-6.8956190050272941
101400000,-13.279640638760153,-12.450395282902743
101600000,-14.476000459146853,-13.646662666660701
101800000,-11.356682136496145,-10.527383815715268
102000000,-51.796295434896642,-50.970631433981559
102200000,-13.172932093248866,-12.343610777426381
102400000,-18.144465713594865,-17.315174986776785
102600000,-18.876571796753083,-18.047229107458914
102800000,-15.378357991102172,-14.549042300899469
103000000,-55.50299924375166,-54.677322273228761
103200000,-16.612709058913492,-15.783380837816134
103400000,-21.355739483460763,-20.526434569555533
103600000,-21.889849391312293,-21.060507204882356
103800000,-18.218313586338621,-17.388992018336893
104000000,-58.189993360692256,-57.364305520198585
104200000,-19.163717356316283,-18.334386962411557
104400000,-23.785032591602835,-22.955721130126264
104600000,-24.209625977158829,-23.38028447538262
104800000,-20.438948567042821,-19.609623749261619
105000000,-60.319945446134781,-59.494247458570129
105200000,-21.211975454316978,-20.382643722536589
105400000,-25.757875442155488,-24.928561166869766
105600000,-26.113103330315226,-25.2837627283537
105800000,-22.278414101269796,-21.449088709152427
106000000,-62.101015232538295,-61.275315147066593
106200000,-22.937228293037343,-22.107896078512255
106400000,-27.431943241980768,-26.602626026114379
106600000,-27.739502440107206,-26.910162829377875
106800000,-23.860187022650649,-23.030858784929325
107000000,-63.640689580239695,-62.815025625056833
107200000,-24.437989181260839,-23.608656812624609
107400000,-28.895814861038684,-28.066496758175148
107600000,-29.16869343423884,-28.339352290435521
107800000,-25.256589593683355,-24.427261887971262
108000000,-65.005438716530037,-64.179716702355222
108200000,-25.774203815046164,-24.9448711756786
108400000,-30.204258794759575,-29.374940497979431
108600000,-30.45087248227518,-29.621530491780248
108800000,-26.513743340656806,-25.684416114934582
109000000,-66.240461779192131,-65.414675091778832
109200000,-26.985040295070775,-26.155708678569805
109400000,-31.39337647492777,-30.564068936544821
109600000,-31.619881804379787,-30.790532425496984
109800000,-27.662670392279392,-26.833359768026661
110000000,-93.439608970830818,-147.06751679506809
110200000,-28.097261333615581,-27.267949103902929
110400000,-32.489355511515768,-31.660019979866505
110600000,-32.698371785674155,-31.869046683643816
110800000,-28.726320179296753,-27.896987628801277
111000000,-68.417479419058836,-67.591668968340343
111200000,-29.131391178045529,-28.302059233958179
111400000,-33.509145370357778,-32.67981796688791
111600000,-33.705164844205328,-32.875832320107619
111800000,-29.720156997511815,-28.890826332750827
112000000,-69.40096027475397,-68.575307793463907
112200000,-30.101103473462004,-29.271771100645289
112400000,-34.467385019806663,-33.638057713056028
112600000,-34.652598352983958,-33.823260145318187
112800000,-30.656959930056871,-29.827628828169352
113000000,-70.325693189833231,-69.500153244507828
113200000,-31.017904645857698,-30.188573599366787
113400000,-35.374723406365788,-34.545396017398687
113600000,-35.550814397569312,-34.721475560689619
113800000,-31.546349176884441,-30.717022252576179
114000000,-71.206751421179675,-70.381198724923507
114200000,-31.890667241832556,-31.061337766740746
114400000,-36.239554199349612,-35.410220401094762
114600000,-36.407977579294254,-35.578644589429672
114800000,-32.396148131952451,-31.566818316483985
115000000,-72.051546122147073,-71.225972575033893
115200000,-32.726413743171662,-31.897086210815601
115400000,-37.068597703541691,-36.239277184650128
115600000,-37.230738207361441,-36.401406302230669
115800000,-33.212636338522692,-32.383309938132918
116000000,-72.858846987364586,-72.033100449623348
116200000,-33.531088943299963,-32.7017536134883
116400000,-37.867679966063868,-37.038350972524441
116600000,-38.024336608163971,-37.194999986717427
116800000,-34.001002149522044,-33.171673194559006
117000000,-73.643052396351308,-72.817023467837203
117200000,-34.309569224914206,-33.480238318375328
117400000,-38.641402470663202,-37.812077316980627
117600000,-38.793529151519039,-37.964197579065441
117800000,-34.765773839381886,-33.936444687252319
118000000,-74.406208024611487,-73.580333705260671
118200000,-35.065949620071414,-34.236614285571733
118400000,-39.393752104521916,-38.564427837342095
118600000,-39.542261573381992,-38.712922339911756
118800000,-35.510733322649422,-34.681394721764264
119000000,-75.143582886396587,-74.317499972433879
119200000,-35.803955870820296,-34.974618100739356
119400000,-40.128323954565602,-39.299012793552265
119600000,-40.273911753456574,-39.444566884477069
119800000,-36.238885992635886,-35.409575466171162
120000000,-101.92345490751802,-144.47877131556598
120200000,-36.526370241672588,-35.697059145845188
120400000,-40.848912184100911,-40.019576231147191
120600000,-40.990840454060077,-40.161517464974096
120800000,-36.954199325458646,-36.124865933439438
121000000,-76.585320998906809,-75.759888108352357
121200000,-37.236923431291459,-36.407592677076501
121400000,-41.556777835944175,-40.727456606605571
121600000,-41.697135746671989,-40.867805232014376
121800000,-37.658336140379987,-36.829010633724607
122000000,-77.283382302858399,-76.458166910204596
122200000,-37.937501700670978,-37.108169743335132
122400000,-42.25570414854672,-41.426382042852374
122600000,-42.394402736090896,-41.565051792577108
122800000,-38.354122880322862,-37.524786691851034
123000000,-77.98197843766188,-77.155846245704453
123200000,-38.630696527374226,-37.801368312896244
123400000,-42.947640648985647,-42.118306854450516
123600000,-43.085373774827318,-42.256044531020549
123800000,-39.044046877859365,-38.214710403907269
124000000,-78.671019171558939,-77.844773946030287
124200000,-39.318753326768395,-38.489414421831739
124400000,-43.634900149514984,-42.805569759942514
124600000,-43.772116566096443,-42.942773947303472
124800000,-39.730150354230595,-38.900823315790582
125000000,-79.352162480467712,-78.526145118168614
125200000,-40.004064183423289,-39.174737336375173
125400000,-44.319954786916554,-43.490635930176097
125600000,-44.456737151493314,-43.627370969972866
125800000,-40.414678552859506,-39.585342091695253
126000000,-80.042226727331013,-79.216775802290542
126200000,-40.688641102380856,-39.859303667540253
