"Frequency","Product","Product1"
0,55.389765984253863,56.030137677873753
150000,115.23382859479041,116.05794738374846
300000,109.31859364873647,110.14556645554278
450000,104.92390544116665,105.75133646028404
600000,99.756660561352618,100.58417803621134
750000,92.261669887850402,93.08894253000642
900000,85.704726002010347,86.531668022111432
1050000,88.488979109648241,89.31616435342427
1200000,87.691651727041076,88.518608901372545
1350000,82.335436613344712,83.162421138266197
1500000,71.527316515289442,72.35243593859019
1650000,77.859429559008802,78.685027476321551
1800000,78.755823158220835,79.582628379838212
1950000,75.775711250180564,76.603866120823042
2100000,67.543336107667798,68.375056418665437
2250000,65.056824795915631,65.882222523444995
2400000,73.901423446861855,74.728500588150027
2550000,74.625048547256995,75.453056569451519
2700000,69.194657215272201,70.023242408904721
2850000,57.666253842616555,58.487819386557504
3000000,70.007545076775997,70.834027159158182
3150000,70.641896678561153,71.468509029389708
3300000,66.745758184380207,67.574881358278432
3450000,56.319194981703397,57.146208016364113
3600000,61.021633393447331,61.843033198384994
3750000,66.709776540503313,67.537178392024501
3900000,66.684418122859142,67.51132946836745
4050000,60.408562555695838,61.244300145222269
4200000,54.866021848683232,55.678002616912778
4350000,63.360226329451017,64.192949617871648
4500000,62.687523318343274,63.513881269246689
4650000,56.771128141258174,57.603205444030237
4800000,45.315819514231059,46.153057393462674
4950000,55.014516913415846,55.843331600156965
5100000,57.520108426036352,58.349439441327831
5250000,56.048921209949484,56.879189254324473
5400000,55.13715005946851,55.970165632899239
5550000,57.038763610714099,57.867699945330351
5700000,55.33776716142615,56.167371042460147
5850000,49.97115366064439,50.805909622113973
6000000,53.853700708723096,54.68359279594668
6150000,55.832787706709048,56.661560101741031
6300000,54.246865682829501,55.074413673241544
6450000,46.822811996671106,47.651419553351147
6600000,47.650929182941361,48.485087113750495
6750000,55.941047730774436,56.769040888861547
6900000,56.601658253123674,57.429071762039328
7050000,50.575354443935993,51.402897830874821
7200000,44.312247173800621,45.139763268153189
7350000,53.391703864507605,54.222969879514025
7500000,53.555614704160632,54.3796819197837
7650000,49.711106732831631,50.542506901039147
7800000,36.23489893305311,37.085350006129694
7950000,46.444207803932713,47.271908888082365
8100000,51.355269142856912,52.17876850380965
8250000,50.708224043559859,51.540928028635911
8400000,46.46149961713899,47.284431091387631
8550000,47.681986938024885,48.516577298231226
8700000,47.51403123709111,48.337817845966605
8850000,43.571893263177017,44.398849212129676
9000000,43.638359175538035,44.46686062800282
9150000,47.034037000265229,47.863166722381862
9300000,47.609714955081884,48.436423498421355
9450000,42.903146805439121,43.730075945998479
9600000,41.179310744222491,42.009463672829959
9750000,49.260387966154227,50.088127778530882
9900000,49.934575218572739,50.762626247751072
10050000,44.068005046879662,44.897049865044735
10200000,35.599510343105685,36.424278830062605
10350000,46.173657187197534,46.999924323161117
10500000,47.711007748246672,48.539051916816888
10650000,45.803422579730643,46.632582150397013
10800000,36.896761750647208,37.731671324710028
10950000,41.488491675542456,42.316639016351239
11100000,47.202329822628528,48.030330422857944
11250000,46.592298965010229,47.422250425262035
11400000,41.401698924083014,42.235276797152309
11550000,40.580768539596107,41.412437216594633
11700000,42.199024233662279,43.029822847384864
11850000,39.958885477255464,40.791669236272995
12000000,38.221260885567922,39.059691206669058
12150000,41.661962747399414,42.492309317991051
12300000,43.567807681763867,44.397231964538477
12450000,41.033828995547374,41.862695254403462
12600000,38.074803675494906,38.905657711052967
12750000,45.121832527008138,45.953552405155158
12900000,46.895194484232896,47.725268152891104
13050000,43.574464591643938,44.399730316467313
13200000,36.675971793357022,37.507913085186388
13350000,44.171248577022489,45.002362945997262
13500000,46.425237346624435,47.251736036701644
13650000,44.036934808445181,44.862163602225984
13800000,35.853165234425312,36.677725826503782
13950000,41.468088142012611,42.294651975298351
14100000,44.882128757386369,45.708648285098292
14250000,43.536966280527771,44.36270795940186
14400000,38.34114000965981,39.170484990745678
14550000,39.016698617808444,39.844004729640289
14700000,41.990884315639249,42.817288196237428
14850000,41.554682739982375,42.384738504795862
15000000,40.553631408006822,41.3812306046621
15150000,41.320043191350486,42.144139760868512
15300000,40.051800354264564,40.882091112073667
15450000,34.161067207415229,34.987353669683763
15600000,35.907810598406691,36.727266144792615
15750000,39.632648502417233,40.455509370279287
15900000,39.786388215381827,40.613473874444487
16050000,36.620288389501169,37.446231506541061
16200000,22.278728159083755,23.117542712156688
16350000,36.379767217710175,37.20966546723885
16500000,39.60845310303241,40.438733114101623
16650000,35.112301570163609,35.947782794892845
16800000,29.586297207153702,30.370190118172737
16950000,40.521159582059653,41.34595762821224
17100000,42.261669794115669,43.084194846338477
17250000,40.69296092995237,41.513469669437548
17400000,36.847448733937327,37.668544192408504
17550000,31.964160361666899,32.78578469561117
17700000,33.42028024614082,34.249701159194608
17850000,32.726900936960476,33.564898757432871
18000000,28.524962705246498,29.381756965959962
18150000,34.928664440031923,35.759509488306875
18300000,36.710830064261238,37.539706430203424
18450000,34.107212961836304,34.936332064419901
18600000,32.772508934968869,33.601007063230391
18750000,35.662714855781353,36.490358759325488
18900000,36.717200099486988,37.544037852740189
19050000,33.938883103916439,34.764150187648582
19200000,24.422841242873371,25.265021000859594
19350000,36.358622437074686,37.190598361855606
19500000,39.271166491899308,40.100584447563186
19650000,36.501138186859016,37.328834755143262
19800000,20.147557729529559,20.953275737721611
19950000,31.876461163987742,32.712698513174772
20100000,35.375324096256101,36.209486515667322
20250000,34.350954566293417,35.182473264014767
20400000,28.607744411724187,29.437044196998912
20550000,26.613250137257868,27.445151954864627
20700000,34.643334237108427,35.472820025782411
