"Frequency","Product","Product1"
169800000,-48.045603519230625,-47.219207873636471
170000000,-87.087842835962022,-86.680708586325039
170200000,-47.856797502865646,-47.030413103858173
170400000,-51.941941528425595,-51.115563047328756
170600000,-51.849168063490573,-51.022747095746517
170800000,-47.577125816587895,-46.750727023322305
171000000,-87.060286539514067,-86.231826174061723
171200000,-47.392260677934772,-46.56587022754821
171400000,-51.479354752656555,-50.652948455466969
171600000,-51.38773019171002,-50.56134616180546
171800000,-47.117407840611179,-46.291022996689513
172000000,-86.597818914269453,-85.766108641881473
172200000,-46.935762134029943,-46.109372372685172
172400000,-51.024167922196781,-50.197767657137774
172600000,-50.933563663033055,-50.107183731948126
172800000,-46.664464106036661,-45.838042059099905
173000000,-86.132637162484102,-85.301877259137115
173200000,-46.48464887020306,-45.658265350228575
173400000,-50.573790089353594,-49.747389062371411
173600000,-50.484406839205754,-49.658047071371854
173800000,-46.215868145431216,-45.38946680236792
174000000,-85.692636081953452,-84.862596553166213
174200000,-46.036906139076777,-45.210519414260517
174400000,-50.126436395118617,-49.30002892885588
174600000,-50.03747802844039,-49.211115224730413
174800000,-45.769094802149333,-44.94272188289321
175000000,-85.254892863135382,-84.4252046689721
175200000,-45.590514350794919,-44.764136053336472
175400000,-49.680152331570852,-48.85377074995386
175600000,-49.590632348081094,-48.764242084613407
175800000,-45.322134639628686,-44.495764762900123
176000000,-84.799889407847431,-83.969841859769872
176200000,-45.143062698873983,-44.316685153657232
176400000,-49.232191084931635,-48.405821556221824
176600000,-49.142201172006388,-48.315815102745006
176800000,-44.87306350597224,-44.046678969202297
177000000,-84.343296007908918,-83.514212298167507
177200000,-44.69229539738911,-43.865916012999151
177400000,-48.780466573229134,-47.95407362969673
177600000,-48.689841016604937,-47.86348228167661
177800000,-44.419558372241326,-43.593168221946037
178000000,-83.898643101609736,-83.068031634355464
178200000,-44.236248583538298,-43.40987223465924
178400000,-48.323092738106013,-47.496703133149481
178600000,-48.230909206371422,-47.404547966777592
178800000,-43.959101732547467,-43.132735417898388
179000000,-83.44100404657425,-82.610686885307928
179200000,-43.77262087109937,-42.946238641664685
179400000,-47.857704350524983,-47.031324886507079
179600000,-47.763292878103137,-46.936916570537058
179800000,-43.489529198510823,-42.66314573934779
180000000,-82.532814783313,-82.129590162590276
180200000,-43.298746304859506,-42.472344502435874
180400000,-47.381375098454441,-46.555028238052842
180600000,-47.284747817176154,-46.458344339970743
180800000,-43.008368426175764,-42.181988957015633
181000000,-82.474601292711171,-81.643222560797255
181200000,-42.811928286157517,-41.985552022299061
181400000,-46.891638501870609,-46.065250995285901
181600000,-46.792180742826879,-45.965792680652491
181800000,-42.512590947296374,-41.686209230053819
182000000,-81.983816881284639,-81.153652691521188
182200000,-42.309451792668227,-41.483076050197084
182400000,-46.385667971452193,-45.559290150398979
182600000,-46.282343875359892,-45.455975192894968
182800000,-41.99899270045681,-41.172614600601221
183000000,-81.464981359072382,-80.63526098908369
183200000,-41.78796316345651,-40.96157952165867
183400000,-45.859922526542441,-45.033558308863995
183600000,-45.752045338294202,-44.925674692155724
183800000,-41.464155162515397,-40.637778980859565
184000000,-80.917257412036662,-80.087320402104694
184200000,-41.24344749477153,-40.417063809474627
184400000,-45.310266638572294,-44.483896577041058
184600000,-45.197388904054492,-44.370986460742628
184800000,-40.903975128098182,-40.07759704220873
185000000,-80.354484147238949,-79.524675476863493
185200000,-40.671639418131853,-39.845258741276297
185400000,-44.73240171269309,-43.90603231653504
185600000,-44.613326042352895,-43.786938574249263
185800000,-40.313385082393737,-39.487010929790671
186000000,-79.763858418739034,-78.933137175866364
186200000,-40.067437730408749,-39.241053356650383
186400000,-44.12103837241348,-43.294646655796669
186600000,-43.994284393368901,-43.16788979905651
186800000,-39.686630861246087,-38.860245476401268
187000000,-79.124847373588551,-78.294779365414811
187200000,-39.42442982743443,-38.598044685533324
187400000,-43.469380055281121,-42.642993956127093
187600000,-43.333670150689784,-42.50728134352493
187800000,-39.016742210499146,-38.190362020549372
188000000,-78.441177046139714,-77.61112325741118
188200000,-38.734830702765549,-37.908452539194826
188400000,-42.769333570795666,-41.942961013755863
188600000,-42.623043264524696,-41.796664231312846
