Time,Vm1:Measured voltage,Am1:Measured current,,
0,394.6276966,66.72573297,,
4.00E-07,395.7157894,66.71331934,,1.09E+00
8.00E-07,396.7990411,66.70081719,,
1.20E-06,397.8774677,66.68822732,,
1.60E-06,398.9510848,66.67555055,,
2.00E-06,400.0199083,66.66278767,,
2.40E-06,401.0839538,66.64993949,,
2.80E-06,402.1432371,66.63700682,,
3.20E-06,403.1977737,66.62399043,,
3.60E-06,404.2475793,66.61089114,,
4.00E-06,405.2926695,66.59770973,,
