x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+397.53570902E+00,+397.52483246E+00,+3.96837758E+00,+901.79518E-03,+1.57799792143E+03,+358.30452468E+00
-49.95000E-03,+397.59557886E+00,+397.58447610E+00,+3.96562482E+00,+819.21321E-03,+1.57691784071E+03,+326.02483777E+00
-49.90000E-03,+397.53570902E+00,+397.58447610E+00,+3.96452372E+00,+729.47413E-03,+1.57583776000E+03,+290.51718217E+00
-49.85000E-03,+397.53570902E+00,+397.52483246E+00,+3.96947869E+00,+654.04925E-03,+1.57799792143E+03,+260.38947439E+00
-49.80000E-03,+397.47583918E+00,+397.58447610E+00,+3.96452372E+00,+591.83750E-03,+1.57583776000E+03,+235.64171443E+00
-49.75000E-03,+397.53570902E+00,+397.52483246E+00,+3.95351268E+00,+523.56973E-03,+1.57151743715E+03,+207.66598577E+00
-49.70000E-03,+397.65544869E+00,+397.64411973E+00,+3.94525441E+00,+436.58338E-03,+1.56935727572E+03,+173.23431974E+00
-49.65000E-03,+397.65544869E+00,+397.70376337E+00,+3.95020937E+00,+362.81015E-03,+1.57043735644E+03,+144.18260152E+00
-49.60000E-03,+397.53570902E+00,+397.64411973E+00,+3.95186103E+00,+319.31698E-03,+1.57151743715E+03,+126.96676850E+00
-49.55000E-03,+397.53570902E+00,+397.76340700E+00,+3.94690606E+00,+335.83337E-03,+1.56935727572E+03,+133.42270589E+00
-49.50000E-03,+397.83505820E+00,+397.76340700E+00,+3.93369282E+00,+300.04785E-03,+1.56503695287E+03,+119.43484156E+00
-49.45000E-03,+397.95479787E+00,+398.00198155E+00,+3.91552461E+00,+208.10658E-03,+1.55855646860E+03,+82.85119640E+00
-49.40000E-03,+397.95479787E+00,+398.00198155E+00,+3.91552461E+00,+143.14209E-03,+1.55855646860E+03,+57.02744687E+00
-49.35000E-03,+397.95479787E+00,+398.06162518E+00,+3.92103013E+00,+153.05193E-03,+1.56071663002E+03,+61.33140513E+00
-49.30000E-03,+398.07453754E+00,+398.12126882E+00,+3.90176081E+00,+117.26641E-03,+1.55315606503E+03,+46.26755124E+00
-49.25000E-03,+398.19427721E+00,+398.30019972E+00,+3.89130033E+00,+84.78416E-03,+1.54991582289E+03,+33.35567647E+00
-49.20000E-03,+398.19427721E+00,+398.24055609E+00,+3.90176081E+00,+51.75137E-03,+1.55315606503E+03,+20.44380171E+00
-49.15000E-03,+398.25414705E+00,+398.30019972E+00,+3.89680584E+00,-6.05601E-03,+1.55207598432E+03,-2.15197913E+00
-49.10000E-03,+398.31401688E+00,+398.35984336E+00,+3.91717626E+00,+104.05329E-03,+1.56071663002E+03,+41.96359298E+00
-49.05000E-03,+398.43375656E+00,+398.47913063E+00,+3.90231136E+00,+98.54783E-03,+1.55531622646E+03,+38.73562429E+00
-49.00000E-03,+398.55349623E+00,+398.47913063E+00,+3.89625529E+00,+85.88526E-03,+1.55315606503E+03,+34.43166603E+00
-48.95000E-03,+398.61336606E+00,+398.65806154E+00,+3.88414315E+00,+96.89619E-03,+1.54775566147E+03,+38.73562429E+00
-48.90000E-03,+398.67323590E+00,+398.77734881E+00,+3.87918819E+00,+87.53690E-03,+1.54667558075E+03,+34.43166604E+00
-48.85000E-03,+398.79297557E+00,+398.71770518E+00,+3.87533432E+00,+121.12023E-03,+1.54559550004E+03,+48.41953036E+00
-48.80000E-03,+398.91271524E+00,+399.01592335E+00,+3.85331225E+00,+118.91805E-03,+1.53695485434E+03,+47.34354080E+00
-48.75000E-03,+398.97258508E+00,+399.01592335E+00,+3.85166059E+00,+124.97406E-03,+1.53695485434E+03,+49.49551993E+00
-48.70000E-03,+399.09232475E+00,+399.19485426E+00,+3.84230121E+00,+167.36614E-03,+1.53371461220E+03,+66.71135294E+00
-48.65000E-03,+399.33180409E+00,+399.31414153E+00,+3.82578466E+00,+210.85931E-03,+1.52723412792E+03,+83.92718596E+00
-48.60000E-03,+399.33180409E+00,+399.37378517E+00,+3.82027914E+00,+271.96998E-03,+1.52507396650E+03,+108.67494592E+00
