"Time","FETD1:Device current","FETD2:Device current","FETD3:Device current","FETD4:Device current","Vab:Measured voltage"
0.48124316520929589,-0.041167430945285056,0,0,-0.041167430945285056,61.542468731939273
0.4812435972501507,-0.022993308017986869,0,0,-0.022993308017986869,61.538780918774826
0.48124359725016436,-0.022993307443322047,0,0,-0.022993307443322047,61.53878091868075
0.48124362780013147,0.019910567708986748,0,0,-0.063325871876229956,61.538426487142772
0.48124365835009864,0.06281443769616088,0,0,-0.10365816016104648,61.5378674065186
0.48124368890006575,0.10571835397499522,0,0,-0.14399008696871352,61.537103799377839
0.48124371945003291,0.14862236800228468,0,0,-0.18432156697017332,61.53613578829011
0.4812437499999932,0.19152652164578776,0,0,-0.22465250582252771,61.534963496109853
0.48124375000000003,0.19152653123482408,0,0,-0.22465251483636792,61.534963495825039
0.48124375000001368,0.19152655041260935,0,0,-0.22465253286448572,61.534963495258104
0.48124390277739665,0.40608761066833132,0,0,-0.42633636296401889,61.526064304720755
0.4812439027774103,0.40608762984698021,0,0,-0.42633638099007332,61.526896636151349
0.48124449722192825,0.27505655090893155,0,0,-0.24533624278381327,61.558803757504023
0.48124509166644619,0.14384426996852989,0,0,-0.064471477973931657,61.577626520241843
0.48124548844809889,0.056207901505694491,0,0,0.056207897921645877,61.582972030026127
0.48124548844811255,0.05620789848922858,0,0,0.05620789848922858,61.582972030111193
0.48124576575849004,0.067744044207261891,0,0,0.067744044207261891,61.585054115827894
0.48124604306886754,0.079272189664407078,0,0,0.079272189664407078,61.587694817801165
0.48124632037924503,0.090790659405375534,0,0,0.090790659405375534,61.590891049701767
0.48124659768962252,0.1022977779748787,0,0,0.1022977779748787,61.594639725200501
0.48124667417435169,0.10546932539293113,0,0,0.10546932539293113,61.595770429001497
0.48124667417436534,0,0,-0.10546932595909528,0.10546932595909528,61.595770429207093
0.48124671433949229,0,0,-0.079149485570028197,0.079149485570028197,61.596259312918832
0.48124675450461923,0,0,-0.05282963356618188,0.05282963356618188,61.596572520528326
0.48124679466974613,0,0,-0.026509844909929609,0.026509844909929609,61.596710170428153
0.48124683483487307,0,0,-0.00019019456364461479,0.00019019456364461479,61.596672381010926
0.48124687499998636,0,0,0.026129233561998026,-0.026129233561998026,61.59645927077149
0.48124687500000002,0,0,0.026129242510299799,-0.026129242510299799,61.596459270669236
0.48124707582035514,0,0,0.15771887365837411,-0.15771887365837411,61.592779306136208
0.4812470758203688,-0.15771888260594769,0,0,-0.15771888260594769,61.592779305737153
0.48124707582106613,-0.15771885364528787,0,0,-0.15771885364528787,61.592779285815411
0.48124707582107978,-0.15771885307815506,0,0,-0.15771885307815506,61.592779285425287
0.48124766065686381,-0.13338153551227283,0,0,-0.13338153551227283,61.57741674374283
0.48124824549264789,-0.10895810719841983,0,0,-0.10895810719841983,61.564731091212302
0.48124883032843191,-0.084465406186079506,0,0,-0.084465406186079506,61.554701556830061
0.48124941516421599,-0.059920270524735288,0,0,-0.059920270524735288,61.547307369592417
0.48124984722259656,-0.041763287719051564,0,0,-0.041763287719051564,61.543525211239974
0.48124984722261022,-0.041763287144942006,0,0,-0.041763287144942006,61.543525211142899
0.4812498777780882,0.0011470218817934974,0,0,-0.082104303306174076,61.543163989377355
0.48124990833356612,0.044057329060935263,0,0,-0.12244504023560435,61.542598039033166
0.4812499388890441,0.086967685878623802,0,0,-0.16278541255579773,61.541827482764518
0.48124996944452203,0.1298781438209998,0,0,-0.20312533488931897,61.540852443225582
0.48124999999999318,0.17278874478545583,0,0,-0.24346471284463286,61.539673043356899
0.48125000000000001,0.17278875437420382,0,0,-0.2434647218587328,61.539673043070536
0.48125000000001367,0.17278877355141287,0,0,-0.2434647398873695,61.539673042500503
0.481250152804928,0.3873820885448378,0,0,-0.4451906940150625,61.53073711525915
0.48125015280494166,0.38738210772291648,0,0,-0.4451907120416303,61.53156959547912
0.48125074724395334,0.25632286524110071,0,0,-0.26420881287075582,61.563350998431218
0.48125134168296502,0.12508366410420013,0,0,-0.083361218633096756,61.582045406839903
0.48125173869469967,0.037378381177195275,0,0,0.037378381172714192,61.587305252324704
0.48125173869471333,0.037378378160116577,0,0,0.037378378160116577,61.587305252406651
0.48125201595577066,0.048903061567874967,0,0,0.048903061567874967,61.589323149689207
0.481252293216828,0.060420012535012085,0,0,0.060420012535012085,61.591899053153895
0.48125257047788533,0.071927557650685592,0,0,0.071927557650685592,61.595029892218143
0.48125284773894267,0.083424023504053174,0,0,0.083424023504053174,61.598712596299407
0.48125292431073224,0.086596851350592849,0,0,0.086596851350592849,61.599826496701148
0.4812529243107459,0,0,-0.086596851916343254,0.086596851916343254,61.599826496903532
0.48125296444859672,0,0,-0.060293269867116736,0.060293269867116736,61.600305624927145
0.48125300458644754,0,0,-0.033989680255436458,0.033989680255436458,61.600609305110197
0.48125304472429836,0,0,-0.0076861578954633344,0.0076861578954633344,61.60073765563741
0.48125308486214918,0,0,0.01861722239864173,-0.01861722239864173,61.600690794693577
0.48125312499998635,0,0,0.04492037686387234,-0.04492037686387234,61.600468840568695
0.481253125,0,0,0.044920385812717789,-0.044920385812717789,61.6004688404634
0.48125332568389395,0,0,0.17642854728937518,-0.17642854728937518,61.596748057830126
0.48125332568390761,-0.17642855623748743,0,0,-0.17642855623748743,61.596748057428215
0.48125332568468171,-0.17642852411118981,0,0,-0.17642852411118981,61.596748035151322
0.48125332568469537,-0.17642852354445843,0,0,-0.17642852354445843,61.596748034758335
0.48125391054775629,-0.15210671008140991,0,0,-0.15210671008140991,61.581261680975814
