"Time [s]","Comparator","Comparator5","Logical Operator1","Logical Operator","Manual Switch3","Am4:Measured current","Am1:Measured current","Am3:Measured current"
0.63240312500000007,0,0,1,1,0,0,-4.1631478815491123,-0.10968769180490867
0.63240468750000001,0,0,1,1,0,0,-5.0698545081366992,-0.10968685167576674
0.63240470413055905,0,0,1,1,0,0,-5.0794812102720028,-0.1096868427338383
0.63240470413057703,1,0,0,1,0,0,-5.0794812206827364,4.9697938700008368
0.63240470413772909,1,0,0,1,0,0,-5.0794770149279831,4.9697896640722652
0.63240470413774708,1,0,0,1,0,0,-5.079477004351574,4.9697896534954191
0.63240547706887362,1,0,0,1,0,0,-4.6243196280773731,4.5146143547546576
0.6324059819615917,1,0,0,1,0,0,-4.326465337722218,4.2167492892091634
0.63240598196160969,1,0,0,1,1,0,-4.3264653271064146,4.2167492785929896
0.63240611598080487,1,0,0,1,1,0.34511168410822718,-4.0747964696933643,4.310189295027584
0.63240624999999107,1,0,0,1,1,0.69021675019724127,-3.8231094356181674,4.4036044554054321
0.63240625000000006,1,0,0,1,1,0.69021677335383691,-3.8231094187290853,4.4036044616727503
0.63240625000001804,1,0,0,1,1,0.6902168196671834,-3.8231093849511364,4.4036044742077589
0.63240651803575976,1,0,0,1,1,1.3803951155784304,-3.31967896768007,4.5903464262600382
0.63240651803577774,1,0,0,1,0,1.3803951618889947,-3.3196789338959167,4.5903464387860433
0.63240778660197827,1,0,0,1,0,0.52444478399247085,-2.9987572126073836,3.4134495723663107
0.63240778660199626,0,0,1,1,0,0.52444477185118954,-2.9987572080734597,0.41469264749303725
0.63240778660617647,0,0,1,1,0,0.52444009254322665,-2.9987619637489153,0.41468796817704362
0.63240778660619446,0,0,1,1,0,0.52444007241022228,-2.9987619842104953,0.41468794804400477
0.6324082550768495,0,0,1,1,0,1.0026448782340935e-08,-3.5318535967364175,-0.10975241205376259
0.63240825507686749,0,0,1,1,0,0,-3.531853607097537,-0.1097524220802007
0.63240881503843371,0,0,1,1,0,0,-3.8557492656196715,-0.10975212082016304
0.63240937499998207,0,0,1,1,0,0,-4.1795871015554091,-0.10975181956096203
0.63240937500000005,0,0,1,1,0,0,-4.17958711195402,-0.10975181956095234
