x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+369.23116910E+00,+47.02928686E+00,+35.31380594E+00,+2.39210254E+00
-24.97500E-03,+370.48639920E+00,+47.02928686E+00,+35.31380594E+00,+2.39879710E+00
-24.95000E-03,+370.06798917E+00,+46.19246680E+00,+35.31380594E+00,+2.38875526E+00
-24.92500E-03,+370.90480924E+00,+47.02928686E+00,+35.31380594E+00,+2.39210254E+00
-24.90000E-03,+369.23116910E+00,+47.02928686E+00,+35.31380594E+00,+2.38540798E+00
-24.87500E-03,+370.90480924E+00,+46.61087683E+00,+35.31380594E+00,+2.37369250E+00
-24.85000E-03,+370.06798917E+00,+47.02928686E+00,+35.31380594E+00,+2.36867158E+00
-24.82500E-03,+370.90480924E+00,+48.28451696E+00,+35.31380594E+00,+2.36030338E+00
-24.80000E-03,+370.90480924E+00,+47.02928686E+00,+33.64016581E+00,+2.37201886E+00
-24.77500E-03,+371.32321927E+00,+47.02928686E+00,+33.64016581E+00,+2.36532430E+00
-24.75000E-03,+371.74162930E+00,+47.02928686E+00,+35.31380594E+00,+2.35862974E+00
-24.72500E-03,+371.32321927E+00,+47.44769689E+00,+33.22175577E+00,+2.35193518E+00
-24.70000E-03,+370.90480924E+00,+47.02928686E+00,+33.64016581E+00,+2.34524062E+00
-24.67500E-03,+372.57844937E+00,+47.44769689E+00,+32.38493571E+00,+2.34524062E+00
-24.65000E-03,+372.57844937E+00,+48.70292699E+00,+34.47698587E+00,+2.34189334E+00
-24.62500E-03,+372.57844937E+00,+47.02928686E+00,+31.96652567E+00,+2.33854606E+00
-24.60000E-03,+372.57844937E+00,+48.70292699E+00,+31.96652567E+00,+2.33185150E+00
-24.57500E-03,+374.25208950E+00,+48.28451696E+00,+31.96652567E+00,+2.33687242E+00
-24.55000E-03,+373.41526943E+00,+47.86610693E+00,+32.80334574E+00,+2.32850421E+00
-24.52500E-03,+374.25208950E+00,+48.28451696E+00,+30.71129557E+00,+2.32348329E+00
-24.50000E-03,+374.25208950E+00,+48.70292699E+00,+30.29288554E+00,+2.32515693E+00
