x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+194.92208234E+00,+194.80386134E+00,+550.54726E-03,+696.42700E-03,+107.31911024E+00,+135.63788660E+00
-49.95000E-03,+194.86639827E+00,+194.88706345E+00,+549.66612E-03,+672.04495E-03,+107.11813812E+00,+131.01264543E+00
-49.90000E-03,+194.92208234E+00,+194.94253152E+00,+540.41415E-03,+629.43555E-03,+105.35963210E+00,+122.73023681E+00
-49.85000E-03,+194.86639827E+00,+194.91479748E+00,+542.56193E-03,+637.12891E-03,+105.71133331E+00,+124.23612928E+00
-49.80000E-03,+194.86639827E+00,+194.91479748E+00,+548.01399E-03,+615.46913E-03,+106.76643692E+00,+119.93357935E+00
-49.75000E-03,+194.97776641E+00,+195.02573362E+00,+547.79370E-03,+590.49529E-03,+106.81667995E+00,+115.20077443E+00
-49.70000E-03,+194.97776641E+00,+194.99799959E+00,+543.88364E-03,+572.38630E-03,+106.06303451E+00,+111.65117073E+00
-49.65000E-03,+194.97776641E+00,+195.02573362E+00,+539.86344E-03,+546.34722E-03,+105.25914604E+00,+106.59567456E+00
-49.60000E-03,+195.03345048E+00,+194.97026555E+00,+537.60552E-03,+566.82340E-03,+104.85720181E+00,+110.46796950E+00
-49.55000E-03,+195.06129251E+00,+195.05346766E+00,+535.67803E-03,+540.78432E-03,+104.50550061E+00,+105.52003708E+00
-49.50000E-03,+195.14481862E+00,+195.21987187E+00,+531.10711E-03,+500.18703E-03,+103.65136911E+00,+97.66788345E+00
-49.45000E-03,+195.17266065E+00,+195.13666976E+00,+528.18834E-03,+480.53936E-03,+103.09869579E+00,+93.79558851E+00
-49.40000E-03,+195.17266065E+00,+195.13666976E+00,+521.41457E-03,+461.24677E-03,+101.74213400E+00,+90.03085732E+00
-49.35000E-03,+195.17266065E+00,+195.16440380E+00,+518.00016E-03,+437.45652E-03,+101.08897463E+00,+85.40561615E+00
-49.30000E-03,+195.17266065E+00,+195.24760590E+00,+506.21491E-03,+415.56003E-03,+98.77779529E+00,+81.10306622E+00
-49.25000E-03,+195.25618675E+00,+195.30307397E+00,+515.41181E-03,+400.05494E-03,+100.63678736E+00,+78.09128126E+00
-49.20000E-03,+195.20050268E+00,+195.24760590E+00,+511.11625E-03,+381.94594E-03,+99.78265587E+00,+74.54167757E+00
-49.15000E-03,+195.20050268E+00,+195.21987187E+00,+520.64358E-03,+383.24790E-03,+101.64164795E+00,+74.86436881E+00
-49.10000E-03,+195.25618675E+00,+195.35854204E+00,+511.39161E-03,+367.86117E-03,+99.83289890E+00,+71.85258386E+00
-49.05000E-03,+195.25618675E+00,+195.33080801E+00,+513.26403E-03,+348.68694E-03,+100.23484313E+00,+68.08785267E+00
-49.00000E-03,+195.31187082E+00,+195.35854204E+00,+513.97995E-03,+310.45683E-03,+100.38557222E+00,+60.66595404E+00
-48.95000E-03,+195.33971286E+00,+195.38627608E+00,+512.27275E-03,+298.85761E-03,+100.08411404E+00,+58.40711533E+00
-48.90000E-03,+195.31187082E+00,+195.38627608E+00,+510.56554E-03,+287.49510E-03,+99.73241284E+00,+56.14827661E+00
-48.85000E-03,+195.31187082E+00,+195.38627608E+00,+508.58297E-03,+285.71971E-03,+99.33046861E+00,+55.82558537E+00
-48.80000E-03,+195.36755489E+00,+195.38627608E+00,+501.91935E-03,+271.27986E-03,+98.07439288E+00,+53.02892791E+00
-48.75000E-03,+195.42323896E+00,+195.38627608E+00,+493.93402E-03,+243.58375E-03,+96.51685897E+00,+47.54317675E+00
-48.70000E-03,+195.39539692E+00,+195.49721222E+00,+496.52237E-03,+229.26225E-03,+97.01928927E+00,+44.85408304E+00
-48.65000E-03,+195.47892303E+00,+195.44174415E+00,+496.35715E-03,+206.06380E-03,+97.01928927E+00,+40.22884186E+00
-48.60000E-03,+195.47892303E+00,+195.46947818E+00,+487.60083E-03,+198.84387E-03,+95.31102628E+00,+38.83051314E+00
-48.55000E-03,+195.53460710E+00,+195.52494625E+00,+496.19194E-03,+185.23254E-03,+97.01928927E+00,+36.24898318E+00
-48.50000E-03,+195.47892303E+00,+195.46947818E+00,+495.31080E-03,+186.77121E-03,+96.81831715E+00,+36.46411067E+00
-48.45000E-03,+195.53460710E+00,+195.49721222E+00,+490.46453E-03,+176.00050E-03,+95.91394262E+00,+34.42039945E+00
-48.40000E-03,+195.59029117E+00,+195.49721222E+00,+482.36906E-03,+156.35283E-03,+94.35640872E+00,+30.54810452E+00
-48.35000E-03,+195.53460710E+00,+195.52494625E+00,+484.90234E-03,+128.53836E-03,+94.80859598E+00,+25.16991710E+00
