x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+167.35846835E+00,+167.40263483E+00,+1.04487109E+00,+1.36742362E+00,+174.88225565E+00,+228.97307914E+00
-49.95000E-03,+167.27494225E+00,+167.37490080E+00,+1.04889665E+00,+1.34757269E+00,+175.42234909E+00,+225.50379006E+00
-49.90000E-03,+167.38631039E+00,+167.37490080E+00,+1.04889665E+00,+1.29870886E+00,+175.53036778E+00,+217.40878221E+00
-49.85000E-03,+167.33062632E+00,+167.37490080E+00,+1.04676547E+00,+1.26180650E+00,+175.20631172E+00,+211.16406187E+00
-49.80000E-03,+167.38631039E+00,+167.34716676E+00,+1.03871434E+00,+1.20988868E+00,+173.91008746E+00,+202.37519621E+00
-49.75000E-03,+167.41415242E+00,+167.37490080E+00,+1.03942473E+00,+1.18367528E+00,+174.01810615E+00,+198.21204931E+00
-49.70000E-03,+167.33062632E+00,+167.37490080E+00,+1.04309510E+00,+1.15924336E+00,+174.55819959E+00,+194.04890242E+00
-49.65000E-03,+167.35846835E+00,+167.31943273E+00,+1.04700227E+00,+1.13684744E+00,+175.20631172E+00,+190.11704147E+00
-49.60000E-03,+167.35846835E+00,+167.40263483E+00,+1.04120072E+00,+1.08492963E+00,+174.23414353E+00,+181.55946174E+00
-49.55000E-03,+167.33062632E+00,+167.34716676E+00,+1.04285830E+00,+1.02461334E+00,+174.45018090E+00,+171.38288045E+00
-49.50000E-03,+167.33062632E+00,+167.37490080E+00,+1.03989833E+00,+1.00323542E+00,+174.01810615E+00,+167.91359137E+00
-49.45000E-03,+167.38631039E+00,+167.37490080E+00,+1.03764875E+00,+969.13254E-03,+173.69405009E+00,+162.13144290E+00
-49.40000E-03,+167.46983649E+00,+167.45810290E+00,+1.03563597E+00,+924.59520E-03,+173.47801271E+00,+154.73029287E+00
-49.35000E-03,+167.35846835E+00,+167.40263483E+00,+1.03693835E+00,+889.72882E-03,+173.58603140E+00,+148.94814441E+00
-49.30000E-03,+167.38631039E+00,+167.37490080E+00,+1.04700227E+00,+855.88045E-03,+175.20631172E+00,+143.16599595E+00
-49.25000E-03,+167.41415242E+00,+167.40263483E+00,+1.03504397E+00,+805.99862E-03,+173.26197534E+00,+134.83970216E+00
-49.20000E-03,+167.38631039E+00,+167.43036887E+00,+1.04167431E+00,+770.11425E-03,+174.34216222E+00,+128.82626776E+00
-49.15000E-03,+167.41415242E+00,+167.43036887E+00,+1.02983442E+00,+759.17079E-03,+172.39782583E+00,+127.20726619E+00
-49.10000E-03,+167.46983649E+00,+167.48583694E+00,+1.03090001E+00,+714.12445E-03,+172.61386321E+00,+119.57483022E+00
-49.05000E-03,+167.44199446E+00,+167.40263483E+00,+1.03078161E+00,+677.98558E-03,+172.61386321E+00,+113.56139581E+00
-49.00000E-03,+167.38631039E+00,+167.43036887E+00,+1.03054481E+00,+635.48423E-03,+172.50584452E+00,+106.39153172E+00
-48.95000E-03,+167.41415242E+00,+167.43036887E+00,+1.03172880E+00,+599.59986E-03,+172.72188190E+00,+100.37809732E+00
-48.90000E-03,+167.41415242E+00,+167.48583694E+00,+1.04060872E+00,+575.16795E-03,+174.23414353E+00,+96.44623636E+00
-48.85000E-03,+167.44199446E+00,+167.48583694E+00,+1.03433358E+00,+539.28358E-03,+173.15395665E+00,+90.43280196E+00
-48.80000E-03,+167.44199446E+00,+167.40263483E+00,+1.03054481E+00,+500.85421E-03,+172.50584452E+00,+83.95679568E+00
-48.75000E-03,+167.41415242E+00,+167.43036887E+00,+1.02734804E+00,+440.53793E-03,+171.96575108E+00,+73.78021439E+00
-48.70000E-03,+167.35846835E+00,+167.37490080E+00,+1.03646476E+00,+414.83352E-03,+173.47801271E+00,+69.38578156E+00
-48.65000E-03,+167.30278429E+00,+167.31943273E+00,+1.04854146E+00,+411.77953E-03,+175.42234909E+00,+68.92320968E+00
-48.60000E-03,+167.24710022E+00,+167.37490080E+00,+1.05292222E+00,+405.92605E-03,+176.07046122E+00,+67.99806593E+00
-48.55000E-03,+167.30278429E+00,+167.31943273E+00,+1.04475269E+00,+374.87716E-03,+174.77423697E+00,+62.67848934E+00
-48.50000E-03,+167.35846835E+00,+167.31943273E+00,+1.03670156E+00,+351.71774E-03,+173.47801271E+00,+58.74662838E+00
-48.45000E-03,+167.33062632E+00,+167.29169869E+00,+1.03895114E+00,+306.41691E-03,+173.80206878E+00,+51.34547835E+00
-48.40000E-03,+167.27494225E+00,+167.29169869E+00,+1.04356870E+00,+282.49399E-03,+174.55819959E+00,+47.18233146E+00
-48.35000E-03,+167.21925818E+00,+167.29169869E+00,+1.04913345E+00,+256.78958E-03,+175.42234909E+00,+43.01918457E+00
-48.30000E-03,+167.24710022E+00,+167.31943273E+00,+1.05233022E+00,+237.95665E-03,+175.96244253E+00,+39.78118143E+00
-48.25000E-03,+167.24710022E+00,+167.29169869E+00,+1.04854146E+00,+227.01319E-03,+175.31433041E+00,+37.93089392E+00
-48.20000E-03,+167.24710022E+00,+167.29169869E+00,+1.04960705E+00,+187.31133E-03,+175.53036778E+00,+31.22360170E+00
-48.15000E-03,+167.21925818E+00,+167.26396466E+00,+1.04593668E+00,+167.71490E-03,+174.88225565E+00,+27.98559856E+00
-48.10000E-03,+167.21925818E+00,+167.20849659E+00,+1.04818626E+00,+160.07993E-03,+175.31433041E+00,+26.82916887E+00
-48.05000E-03,+167.19141615E+00,+167.18076255E+00,+1.04854146E+00,+135.64802E-03,+175.31433041E+00,+22.66602198E+00
-48.00000E-03,+167.19141615E+00,+167.20849659E+00,+1.05386941E+00,+137.93851E-03,+176.17847991E+00,+23.12859385E+00
-47.95000E-03,+167.16357411E+00,+167.26396466E+00,+1.05552700E+00,+115.79709E-03,+176.39451728E+00,+19.42801884E+00
-47.90000E-03,+167.19141615E+00,+167.26396466E+00,+1.05848697E+00,+106.38062E-03,+176.93461072E+00,+17.80901727E+00
-47.85000E-03,+167.13573208E+00,+167.15302852E+00,+1.05588219E+00,+100.27264E-03,+176.50253597E+00,+16.65258757E+00
-47.80000E-03,+167.19141615E+00,+167.18076255E+00,+1.05647419E+00,+87.54769E-03,+176.61055466E+00,+14.57101413E+00
-47.75000E-03,+167.19141615E+00,+167.18076255E+00,+1.05552700E+00,+89.83818E-03,+176.50253597E+00,+15.03358600E+00
-47.70000E-03,+167.16357411E+00,+167.20849659E+00,+1.04925185E+00,+78.89472E-03,+175.42234909E+00,+13.18329850E+00
-47.65000E-03,+167.21925818E+00,+167.20849659E+00,+1.04498949E+00,+59.80729E-03,+174.77423697E+00,+9.94529536E+00
-47.60000E-03,+167.19141615E+00,+167.18076255E+00,+1.05375101E+00,+51.15432E-03,+176.17847991E+00,+8.55757973E+00
-47.55000E-03,+167.13573208E+00,+167.18076255E+00,+1.05753978E+00,+44.53734E-03,+176.71857335E+00,+7.40115003E+00
-47.50000E-03,+167.16357411E+00,+167.23623062E+00,+1.04747587E+00,+92.63767E-03,+175.09829303E+00,+15.49615788E+00
-47.45000E-03,+167.05220598E+00,+167.12529448E+00,+1.05990776E+00,+3.56299E-03,+177.04262941E+00,+693.85782E-03
-47.40000E-03,+167.08004801E+00,+167.04209238E+00,+1.06476212E+00,+44.02834E-03,+177.90677892E+00,+7.40115003E+00
-47.35000E-03,+167.08004801E+00,+167.15302852E+00,+1.05635579E+00,+69.73275E-03,+176.50253597E+00,+11.56429693E+00
-47.30000E-03,+167.21925818E+00,+167.18076255E+00,+1.04925185E+00,+67.18776E-03,+175.42234909E+00,+11.33301099E+00
-47.25000E-03,+167.24710022E+00,+167.20849659E+00,+1.04439749E+00,+48.35483E-03,+174.66621828E+00,+8.09500785E+00
-47.20000E-03,+167.24710022E+00,+167.23623062E+00,+1.04392390E+00,+48.10033E-03,+174.55819959E+00,+8.09500785E+00
-47.15000E-03,+167.16357411E+00,+167.26396466E+00,+1.04558148E+00,+47.08233E-03,+174.77423697E+00,+7.86372191E+00
-47.10000E-03,+167.13573208E+00,+167.20849659E+00,+1.04960705E+00,+68.96925E-03,+175.42234909E+00,+11.56429693E+00
-47.05000E-03,+167.27494225E+00,+167.31943273E+00,+1.04356870E+00,+88.05669E-03,+174.55819959E+00,+14.80230007E+00
-47.00000E-03,+167.30278429E+00,+167.34716676E+00,+1.03883274E+00,+81.18521E-03,+173.80206878E+00,+13.64587037E+00
-46.95000E-03,+167.30278429E+00,+167.37490080E+00,+1.04712067E+00,+85.25720E-03,+175.20631172E+00,+14.33972819E+00
-46.90000E-03,+167.30278429E+00,+167.26396466E+00,+1.04487109E+00,+102.56313E-03,+174.77423697E+00,+17.11515945E+00
-46.85000E-03,+167.30278429E+00,+167.26396466E+00,+1.04558148E+00,+135.64802E-03,+174.88225565E+00,+22.66602198E+00
-46.80000E-03,+167.35846835E+00,+167.40263483E+00,+1.04013513E+00,+158.29844E-03,+174.12612484E+00,+26.59788293E+00
-46.75000E-03,+167.35846835E+00,+167.34716676E+00,+1.03172880E+00,+184.76634E-03,+172.72188190E+00,+30.99231576E+00
-46.70000E-03,+167.38631039E+00,+167.43036887E+00,+1.02924242E+00,+188.07483E-03,+172.28980715E+00,+31.45488764E+00
-46.65000E-03,+167.38631039E+00,+167.40263483E+00,+1.02829523E+00,+207.67126E-03,+172.07376977E+00,+34.69289078E+00
-46.60000E-03,+167.44199446E+00,+167.43036887E+00,+1.02722964E+00,+240.75614E-03,+171.96575108E+00,+40.24375330E+00
-46.55000E-03,+167.44199446E+00,+167.40263483E+00,+1.02947922E+00,+274.35002E-03,+172.39782583E+00,+46.02590177E+00
-46.50000E-03,+167.44199446E+00,+167.48583694E+00,+1.02651924E+00,+294.96445E-03,+171.85773239E+00,+49.49519084E+00
-46.45000E-03,+167.41415242E+00,+167.40263483E+00,+1.02616405E+00,+304.63541E-03,+171.74971371E+00,+50.88290648E+00
-46.40000E-03,+167.44199446E+00,+167.40263483E+00,+1.02545365E+00,+338.99279E-03,+171.74971371E+00,+56.66505494E+00
-46.35000E-03,+167.38631039E+00,+167.37490080E+00,+1.03078161E+00,+377.67665E-03,+172.50584452E+00,+63.14106122E+00
-46.30000E-03,+167.41415242E+00,+167.43036887E+00,+1.02912402E+00,+382.51213E-03,+172.28980715E+00,+64.06620497E+00
-46.25000E-03,+167.52552056E+00,+167.45810290E+00,+1.01716572E+00,+408.47104E-03,+170.45348945E+00,+68.46063780E+00
-46.20000E-03,+167.44199446E+00,+167.40263483E+00,+1.02983442E+00,+439.26543E-03,+172.39782583E+00,+73.54892845E+00
-46.15000E-03,+167.35846835E+00,+167.40263483E+00,+1.03528077E+00,+483.80277E-03,+173.26197534E+00,+80.95007848E+00
-46.10000E-03,+167.41415242E+00,+167.40263483E+00,+1.02995281E+00,+531.90310E-03,+172.39782583E+00,+89.04508633E+00
-46.05000E-03,+167.44199446E+00,+167.48583694E+00,+1.03303119E+00,+548.19104E-03,+172.93791927E+00,+91.82051759E+00
-46.00000E-03,+167.33062632E+00,+167.43036887E+00,+1.03054481E+00,+598.07287E-03,+172.39782583E+00,+100.14681138E+00
-45.95000E-03,+167.38631039E+00,+167.37490080E+00,+1.03859594E+00,+635.99323E-03,+173.80206878E+00,+106.39153172E+00
-45.90000E-03,+167.41415242E+00,+167.43036887E+00,+1.03741195E+00,+668.82361E-03,+173.69405009E+00,+111.94239424E+00
-45.85000E-03,+167.44199446E+00,+167.45810290E+00,+1.03397838E+00,+693.00103E-03,+173.15395665E+00,+116.10554114E+00
-45.80000E-03,+167.44199446E+00,+167.51357097E+00,+1.02237528E+00,+713.36095E-03,+171.20962027E+00,+119.57483022E+00
-45.75000E-03,+167.44199446E+00,+167.43036887E+00,+1.03741195E+00,+758.66179E-03,+173.69405009E+00,+126.97598025E+00
-45.70000E-03,+167.33062632E+00,+167.40263483E+00,+1.04262151E+00,+808.28912E-03,+174.45018090E+00,+135.30227404E+00
-45.65000E-03,+167.33062632E+00,+167.34716676E+00,+1.04013513E+00,+855.88045E-03,+174.01810615E+00,+143.16599595E+00
-45.60000E-03,+167.35846835E+00,+167.34716676E+00,+1.04747587E+00,+885.91134E-03,+175.31433041E+00,+148.25428659E+00
-45.55000E-03,+167.35846835E+00,+167.34716676E+00,+1.04049032E+00,+916.19673E-03,+174.12612484E+00,+153.34257724E+00
