x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+180.91753907E+00,+180.93684388E+00,+1.82829351E+00,+512.55880E-03,+330.72072095E+00,+92.56114880E+00
-49.95000E-03,+180.94538111E+00,+181.02004598E+00,+1.83211200E+00,+576.97274E-03,+331.41746404E+00,+104.56908161E+00
-49.90000E-03,+180.94538111E+00,+180.99231195E+00,+1.82778438E+00,+622.11756E-03,+330.72072095E+00,+112.57437016E+00
-49.85000E-03,+181.00106518E+00,+180.96457791E+00,+1.82320219E+00,+661.20636E-03,+330.02397786E+00,+119.57899763E+00
-49.80000E-03,+181.02890721E+00,+181.02004598E+00,+1.82727525E+00,+714.05882E-03,+330.72072095E+00,+129.08527778E+00
-49.75000E-03,+180.97322314E+00,+180.99231195E+00,+1.82065653E+00,+783.42768E-03,+329.55948246E+00,+141.59354113E+00
-49.70000E-03,+180.97322314E+00,+180.99231195E+00,+1.82600242E+00,+832.97687E-03,+330.48847325E+00,+150.59949074E+00
-49.65000E-03,+181.00106518E+00,+181.02004598E+00,+1.82447502E+00,+859.40310E-03,+330.25622555E+00,+155.60279608E+00
-49.60000E-03,+180.86185500E+00,+180.96457791E+00,+1.83669419E+00,+942.53563E-03,+332.11420713E+00,+170.61271210E+00
-49.55000E-03,+180.86185500E+00,+180.85364177E+00,+1.84025812E+00,+1.00144410E+00,+332.81095022E+00,+181.11965332E+00
-49.50000E-03,+180.94538111E+00,+180.96457791E+00,+1.83414853E+00,+1.06640859E+00,+331.88195944E+00,+193.12758613E+00
-49.45000E-03,+180.91753907E+00,+180.93684388E+00,+1.82905721E+00,+1.11155341E+00,+330.95296865E+00,+201.13287468E+00
-49.40000E-03,+180.97322314E+00,+180.93684388E+00,+1.82498415E+00,+1.16495642E+00,+330.25622555E+00,+210.63915483E+00
-49.35000E-03,+180.88969704E+00,+180.93684388E+00,+1.84204008E+00,+1.24038129E+00,+333.27544562E+00,+224.64840978E+00
-49.30000E-03,+180.86185500E+00,+180.90910984E+00,+1.84611314E+00,+1.29708758E+00,+333.97218871E+00,+234.65502046E+00
-49.25000E-03,+180.80617094E+00,+180.85364177E+00,+1.84993163E+00,+1.35489496E+00,+334.43668411E+00,+245.16196167E+00
-49.20000E-03,+180.75048687E+00,+180.74270563E+00,+1.85807774E+00,+1.43912858E+00,+335.83017029E+00,+260.17187769E+00
-49.15000E-03,+180.77832890E+00,+180.79817370E+00,+1.85196816E+00,+1.52171056E+00,+334.90117950E+00,+275.18179372E+00
-49.10000E-03,+180.77832890E+00,+180.77043967E+00,+1.85247729E+00,+1.61089909E+00,+334.90117950E+00,+291.19237080E+00
-49.05000E-03,+180.83401297E+00,+180.82590774E+00,+1.84509487E+00,+1.66430210E+00,+333.73994101E+00,+301.19898148E+00
-49.00000E-03,+180.83401297E+00,+180.85364177E+00,+1.84356748E+00,+1.69843599E+00,+333.27544562E+00,+307.20294789E+00
-48.95000E-03,+180.86185500E+00,+180.88137581E+00,+1.84025812E+00,+1.75238954E+00,+332.81095022E+00,+317.20955857E+00
-48.90000E-03,+180.72264483E+00,+180.77043967E+00,+1.85196816E+00,+1.83166824E+00,+334.66893180E+00,+331.21881353E+00
-48.85000E-03,+180.75048687E+00,+180.79817370E+00,+1.85909601E+00,+1.90764366E+00,+336.06241799E+00,+344.72773795E+00
