x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+188.15646800E+00,+188.17542699E+00,+1.53834276E+00,+1.73593830E+00,+289.38063083E+00,+326.57574519E+00
-49.95000E-03,+188.23999410E+00,+188.14769296E+00,+1.52485076E+00,+1.71710537E+00,+287.05815386E+00,+323.10645612E+00
-49.90000E-03,+188.29567817E+00,+188.31409717E+00,+1.51339528E+00,+1.65500759E+00,+284.96792458E+00,+311.77344513E+00
-49.85000E-03,+188.37920427E+00,+188.36956524E+00,+1.50830396E+00,+1.59978129E+00,+284.03893379E+00,+301.36557789E+00
-49.80000E-03,+188.40704631E+00,+188.45276734E+00,+1.50804940E+00,+1.54760898E+00,+284.03893379E+00,+291.65156848E+00
-49.75000E-03,+188.43488834E+00,+188.48050138E+00,+1.51237702E+00,+1.49161918E+00,+284.96792458E+00,+281.24370124E+00
-49.70000E-03,+188.49057241E+00,+188.48050138E+00,+1.50754026E+00,+1.45115382E+00,+284.27118149E+00,+273.61126527E+00
-49.65000E-03,+188.57409851E+00,+188.59143752E+00,+1.49659392E+00,+1.39541852E+00,+282.18095221E+00,+263.20339804E+00
-49.60000E-03,+188.65762462E+00,+188.64690559E+00,+1.47979256E+00,+1.33408424E+00,+279.16173215E+00,+251.63910111E+00
-49.55000E-03,+188.82467682E+00,+188.73010769E+00,+1.47801060E+00,+1.27427695E+00,+279.16173215E+00,+240.53737606E+00
-49.50000E-03,+188.71330869E+00,+188.81330980E+00,+1.46910079E+00,+1.23584759E+00,+277.30375057E+00,+233.36751197E+00
-49.45000E-03,+188.88036089E+00,+188.84104383E+00,+1.47190101E+00,+1.17196832E+00,+278.00049366E+00,+221.34064317E+00
-49.40000E-03,+188.85251886E+00,+188.89651190E+00,+1.46553686E+00,+1.11903251E+00,+276.83925518E+00,+211.39534781E+00
-49.35000E-03,+188.93604496E+00,+189.03518208E+00,+1.45789988E+00,+1.06304271E+00,+275.44576899E+00,+200.98748058E+00
-49.30000E-03,+189.01957106E+00,+189.00744804E+00,+1.44211678E+00,+1.00221742E+00,+272.65879662E+00,+189.42318365E+00
-49.25000E-03,+189.13093920E+00,+189.11838418E+00,+1.44033482E+00,+956.91658E-03,+272.42654893E+00,+180.86560392E+00
-49.20000E-03,+189.10309717E+00,+189.17385225E+00,+1.43677090E+00,+909.32525E-03,+271.72980584E+00,+172.07673826E+00
-49.15000E-03,+189.13093920E+00,+189.17385225E+00,+1.43957112E+00,+870.89589E-03,+272.19430123E+00,+164.67558823E+00
-49.10000E-03,+189.10309717E+00,+189.14611822E+00,+1.43600720E+00,+834.75702E-03,+271.49755814E+00,+157.96829601E+00
-49.05000E-03,+189.21446530E+00,+189.14611822E+00,+1.42735195E+00,+784.87520E-03,+270.10407195E+00,+148.48557253E+00
-49.00000E-03,+189.32583344E+00,+189.31252243E+00,+1.42455173E+00,+719.72343E-03,+269.63957656E+00,+136.22741779E+00
-48.95000E-03,+189.24230734E+00,+189.31252243E+00,+1.42200606E+00,+673.91359E-03,+269.17508117E+00,+127.66983806E+00
-48.90000E-03,+189.32583344E+00,+189.28478839E+00,+1.41258712E+00,+618.68729E-03,+267.54934728E+00,+117.03068489E+00
