x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+172.28650843E+00,+172.28382498E+00,+1.15995491E+00,+2.00697984E+00,+199.83457255E+00,+345.77247809E+00
-49.95000E-03,+172.34219250E+00,+172.39476112E+00,+1.15711333E+00,+1.97593095E+00,+199.40249780E+00,+340.68418744E+00
-49.90000E-03,+172.28650843E+00,+172.25609095E+00,+1.15983651E+00,+1.97236796E+00,+199.83457255E+00,+339.75904369E+00
-49.85000E-03,+172.37003453E+00,+172.36702709E+00,+1.14278705E+00,+1.93393860E+00,+197.02608667E+00,+333.28303741E+00
-49.80000E-03,+172.31435047E+00,+172.31155902E+00,+1.15225897E+00,+1.94386406E+00,+198.53834830E+00,+334.90203898E+00
-49.75000E-03,+172.34219250E+00,+172.39476112E+00,+1.14693102E+00,+1.91714166E+00,+197.67419879E+00,+330.50760615E+00
-49.70000E-03,+172.34219250E+00,+172.42249516E+00,+1.14515503E+00,+1.89067375E+00,+197.35014273E+00,+325.88188738E+00
-49.65000E-03,+172.42571860E+00,+172.42249516E+00,+1.14693102E+00,+1.86649634E+00,+197.78221748E+00,+321.71874048E+00
-49.60000E-03,+172.39787657E+00,+172.45022919E+00,+1.14811501E+00,+1.82755798E+00,+197.89023617E+00,+315.24273421E+00
-49.55000E-03,+172.42571860E+00,+172.42249516E+00,+1.15687653E+00,+1.82170450E+00,+199.51051649E+00,+314.08630451E+00
-49.50000E-03,+172.37003453E+00,+172.39476112E+00,+1.14740461E+00,+1.79091011E+00,+197.78221748E+00,+308.76672793E+00
-49.45000E-03,+172.39787657E+00,+172.47796322E+00,+1.14349745E+00,+1.81865051E+00,+197.13410535E+00,+313.62373264E+00
-49.40000E-03,+172.50924471E+00,+172.56116533E+00,+1.13426232E+00,+1.74739076E+00,+195.62184372E+00,+301.59686383E+00
-49.35000E-03,+172.53708674E+00,+172.56116533E+00,+1.12810558E+00,+1.71863237E+00,+194.64967553E+00,+296.50857319E+00
-49.30000E-03,+172.56492877E+00,+172.56116533E+00,+1.12372481E+00,+1.70234442E+00,+193.89354472E+00,+293.73314192E+00
-49.25000E-03,+172.56492877E+00,+172.61663340E+00,+1.11969925E+00,+1.66366056E+00,+193.24543259E+00,+287.25713565E+00
-49.20000E-03,+172.56492877E+00,+172.67210147E+00,+1.12088324E+00,+1.62319521E+00,+193.46146997E+00,+280.31855749E+00
-49.15000E-03,+172.73198098E+00,+172.69983550E+00,+1.11555528E+00,+1.59214632E+00,+192.70533915E+00,+274.99898090E+00
-49.10000E-03,+172.70413895E+00,+172.69983550E+00,+1.11543689E+00,+1.57993036E+00,+192.59732046E+00,+272.91740746E+00
