x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+119.41448524E+00,+119.47822248E+00,+1.05233022E+00,+1.28343892E+00,+125.62573399E+00,+153.34257724E+00
-49.95000E-03,+119.44232727E+00,+119.47822248E+00,+1.03918794E+00,+1.24017407E+00,+124.11347236E+00,+148.25428659E+00
-49.90000E-03,+119.49801134E+00,+119.42275441E+00,+1.04037193E+00,+1.19258274E+00,+124.32950973E+00,+142.47213813E+00
-49.85000E-03,+119.49801134E+00,+119.47822248E+00,+1.03137360E+00,+1.13710194E+00,+123.24932285E+00,+135.76484591E+00
-49.80000E-03,+119.41448524E+00,+119.42275441E+00,+1.03670156E+00,+1.11954150E+00,+123.78941629E+00,+133.68327247E+00
-49.75000E-03,+119.38664321E+00,+119.45048844E+00,+1.04250311E+00,+1.08416613E+00,+124.43752842E+00,+129.52012557E+00
-49.70000E-03,+119.47016931E+00,+119.42275441E+00,+1.04546308E+00,+1.07271367E+00,+124.86960317E+00,+128.13240994E+00
-49.65000E-03,+119.49801134E+00,+119.53369054E+00,+1.03184720E+00,+1.00832540E+00,+123.35734154E+00,+120.49997397E+00
-49.60000E-03,+119.52585338E+00,+119.50595651E+00,+1.02865043E+00,+969.64154E-03,+122.92526679E+00,+115.87425520E+00
-49.55000E-03,+119.47016931E+00,+119.50595651E+00,+1.02782163E+00,+932.23017E-03,+122.81724810E+00,+111.47982237E+00
-49.50000E-03,+119.47016931E+00,+119.53369054E+00,+1.03042641E+00,+895.32780E-03,+123.14130417E+00,+107.08538954E+00
-49.45000E-03,+119.44232727E+00,+119.47822248E+00,+1.03303119E+00,+849.77247E-03,+123.35734154E+00,+101.53452701E+00
-49.40000E-03,+119.49801134E+00,+119.53369054E+00,+1.03551757E+00,+823.55906E-03,+123.78941629E+00,+98.52780981E+00
-49.35000E-03,+119.49801134E+00,+119.50595651E+00,+1.02734804E+00,+788.69269E-03,+122.81724810E+00,+94.36466292E+00
-49.30000E-03,+119.52585338E+00,+119.50595651E+00,+1.03326799E+00,+755.09881E-03,+123.46536023E+00,+90.20151602E+00
-49.25000E-03,+119.55369541E+00,+119.56142458E+00,+1.02533525E+00,+710.30696E-03,+122.60121073E+00,+84.88193944E+00
-49.20000E-03,+119.49801134E+00,+119.53369054E+00,+1.03090001E+00,+670.35061E-03,+123.14130417E+00,+80.02493473E+00
-49.15000E-03,+119.47016931E+00,+119.47822248E+00,+1.03492557E+00,+638.53822E-03,+123.68139761E+00,+76.32435971E+00
-49.10000E-03,+119.44232727E+00,+119.45048844E+00,+1.03859594E+00,+624.54077E-03,+124.00545367E+00,+74.70535814E+00
-49.05000E-03,+119.47016931E+00,+119.53369054E+00,+1.03587276E+00,+590.69239E-03,+123.78941629E+00,+70.54221125E+00
-49.00000E-03,+119.49801134E+00,+119.47822248E+00,+1.03326799E+00,+550.22704E-03,+123.46536023E+00,+65.68520654E+00
-48.95000E-03,+119.52585338E+00,+119.53369054E+00,+1.02699284E+00,+512.05217E-03,+122.70922942E+00,+61.29077371E+00
-48.90000E-03,+119.47016931E+00,+119.47822248E+00,+1.03338639E+00,+471.84132E-03,+123.46536023E+00,+56.43376900E+00
-48.85000E-03,+119.44232727E+00,+119.47822248E+00,+1.02557205E+00,+434.68445E-03,+122.49319204E+00,+52.03933617E+00
-48.80000E-03,+119.41448524E+00,+119.45048844E+00,+1.04001673E+00,+425.01348E-03,+124.22149105E+00,+50.88290648E+00
-48.75000E-03,+119.35880117E+00,+119.47822248E+00,+1.03942473E+00,+386.07512E-03,+124.11347236E+00,+46.02590177E+00
-48.70000E-03,+119.44232727E+00,+119.42275441E+00,+1.04652867E+00,+361.38871E-03,+124.97762186E+00,+43.25047050E+00
-48.65000E-03,+119.33095914E+00,+119.45048844E+00,+1.04191111E+00,+339.75629E-03,+124.32950973E+00,+40.47503924E+00
-48.60000E-03,+119.33095914E+00,+119.36728634E+00,+1.04865985E+00,+304.88991E-03,+125.08564055E+00,+36.31189235E+00
-48.55000E-03,+119.35880117E+00,+119.31181827E+00,+1.04238471E+00,+292.67396E-03,+124.43752842E+00,+34.92417672E+00
-48.50000E-03,+119.27527507E+00,+119.28408423E+00,+1.03528077E+00,+264.93355E-03,+123.46536023E+00,+31.68617358E+00
-48.45000E-03,+119.30311710E+00,+119.28408423E+00,+1.03812234E+00,+225.99519E-03,+123.89743498E+00,+27.06045481E+00
-48.40000E-03,+119.30311710E+00,+119.31181827E+00,+1.04652867E+00,+191.38332E-03,+124.86960317E+00,+22.89730791E+00
-48.35000E-03,+119.24743303E+00,+119.28408423E+00,+1.04806786E+00,+187.05683E-03,+124.97762186E+00,+22.20345010E+00
-48.30000E-03,+119.16390693E+00,+119.25635020E+00,+1.05351421E+00,+185.02084E-03,+125.51771530E+00,+21.97216416E+00
-48.25000E-03,+119.24743303E+00,+119.28408423E+00,+1.05860537E+00,+173.56838E-03,+126.27384611E+00,+20.81573447E+00
-48.20000E-03,+119.24743303E+00,+119.25635020E+00,+1.05268542E+00,+145.06448E-03,+125.51771530E+00,+17.34644539E+00
-48.15000E-03,+119.21959100E+00,+119.20088213E+00,+1.05221182E+00,+123.94106E-03,+125.40969661E+00,+14.80230007E+00
-48.10000E-03,+119.13606490E+00,+119.22861616E+00,+1.05600059E+00,+121.90506E-03,+125.84177136E+00,+14.57101413E+00
-48.05000E-03,+119.13606490E+00,+119.20088213E+00,+1.05825017E+00,+122.92306E-03,+126.05780874E+00,+14.57101413E+00
-48.00000E-03,+119.21959100E+00,+119.14541406E+00,+1.05517180E+00,+102.30863E-03,+125.84177136E+00,+12.25815474E+00
-47.95000E-03,+119.21959100E+00,+119.20088213E+00,+1.05718458E+00,+77.36772E-03,+126.05780874E+00,+9.25143754E+00
-47.90000E-03,+119.13606490E+00,+119.20088213E+00,+1.05233022E+00,+62.35228E-03,+125.40969661E+00,+7.40115003E+00
-47.85000E-03,+119.13606490E+00,+119.11768002E+00,+1.06322293E+00,+71.25975E-03,+126.70592087E+00,+8.55757973E+00
-47.80000E-03,+119.13606490E+00,+119.08994599E+00,+1.06357813E+00,+79.40372E-03,+126.70592087E+00,+9.48272348E+00
-47.75000E-03,+119.13606490E+00,+119.11768002E+00,+1.05753978E+00,+68.46026E-03,+125.94979005E+00,+8.09500785E+00
-47.70000E-03,+119.10822286E+00,+119.17314809E+00,+1.06274933E+00,+59.55279E-03,+126.59790218E+00,+7.16986409E+00
-47.65000E-03,+119.05253879E+00,+119.14541406E+00,+1.06914288E+00,+49.37282E-03,+127.24601431E+00,+5.78214846E+00
-47.60000E-03,+119.08038083E+00,+119.08994599E+00,+1.06866928E+00,+73.55024E-03,+127.24601431E+00,+8.78886566E+00
-47.55000E-03,+119.08038083E+00,+119.08994599E+00,+1.06926128E+00,+57.77129E-03,+127.35403299E+00,+6.93857816E+00
-47.50000E-03,+119.13606490E+00,+119.14541406E+00,+1.06772209E+00,+62.09778E-03,+127.24601431E+00,+7.40115003E+00
-47.45000E-03,+119.08038083E+00,+119.08994599E+00,+1.06381493E+00,+45.80984E-03,+126.70592087E+00,+5.55086252E+00
-47.40000E-03,+119.10822286E+00,+119.08994599E+00,+1.06334133E+00,+50.89982E-03,+126.70592087E+00,+6.01343440E+00
-47.35000E-03,+119.05253879E+00,+119.11768002E+00,+1.06630130E+00,+58.53479E-03,+126.92195824E+00,+6.93857816E+00
-47.30000E-03,+119.16390693E+00,+119.11768002E+00,+1.05967096E+00,+59.04379E-03,+126.27384612E+00,+6.93857816E+00
-47.25000E-03,+119.13606490E+00,+119.11768002E+00,+1.05138303E+00,+76.09523E-03,+125.30167792E+00,+9.02015160E+00
-47.20000E-03,+119.16390693E+00,+119.14541406E+00,+1.05446141E+00,+72.02324E-03,+125.62573399E+00,+8.55757973E+00
-47.15000E-03,+119.13606490E+00,+119.20088213E+00,+1.05576379E+00,+87.29319E-03,+125.73375268E+00,+10.40786723E+00
-47.10000E-03,+119.19174896E+00,+119.17314809E+00,+1.04877825E+00,+79.14922E-03,+124.97762186E+00,+9.48272348E+00
-47.05000E-03,+119.19174896E+00,+119.22861616E+00,+1.04996224E+00,+92.38317E-03,+125.19365924E+00,+11.10172505E+00
-47.00000E-03,+119.21959100E+00,+119.25635020E+00,+1.04842306E+00,+103.07213E-03,+124.97762186E+00,+12.25815474E+00
-46.95000E-03,+119.24743303E+00,+119.31181827E+00,+1.04605508E+00,+125.46805E-03,+124.76158448E+00,+15.03358600E+00
-46.90000E-03,+119.21959100E+00,+119.22861616E+00,+1.05161983E+00,+163.13392E-03,+125.40969661E+00,+19.42801884E+00
-46.85000E-03,+119.27527507E+00,+119.31181827E+00,+1.04664707E+00,+191.89232E-03,+124.86960317E+00,+22.89730791E+00
-46.80000E-03,+119.27527507E+00,+119.36728634E+00,+1.04558148E+00,+203.59927E-03,+124.76158448E+00,+24.28502354E+00
-46.75000E-03,+119.30311710E+00,+119.33955230E+00,+1.04723907E+00,+219.63272E-03,+124.97762186E+00,+26.13531105E+00
-46.70000E-03,+119.30311710E+00,+119.33955230E+00,+1.04262151E+00,+247.88212E-03,+124.43752842E+00,+29.60460013E+00
