x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+173.54184097E+00,+65.66527170E+00,+1.39748949E+00,+2.84141209E+00
-24.97500E-03,+174.71338908E+00,+64.99581563E+00,-945.60674E-03,+2.84978029E+00
-24.95000E-03,+175.88493720E+00,+64.99581563E+00,-610.87871E-03,+2.85480121E+00
-24.92500E-03,+176.72175728E+00,+65.49790768E+00,-2.28451887E+00,+2.84559619E+00
-24.90000E-03,+177.55857736E+00,+64.99581563E+00,-3.95815903E+00,+2.84141209E+00
-24.87500E-03,+177.72594137E+00,+64.99581563E+00,-3.95815903E+00,+2.83806481E+00
-24.85000E-03,+178.56276146E+00,+65.33054367E+00,-4.96234313E+00,+2.84308573E+00
-24.82500E-03,+180.06903760E+00,+64.99581563E+00,-5.96652722E+00,+2.83639117E+00
-24.80000E-03,+180.90585768E+00,+65.66527170E+00,-7.30543935E+00,+2.83806481E+00
-24.77500E-03,+182.07740580E+00,+65.66527170E+00,-7.64016739E+00,+2.83973845E+00
-24.75000E-03,+182.57949784E+00,+64.99581563E+00,-8.97907951E+00,+2.83806481E+00
-24.72500E-03,+184.92259407E+00,+64.66108760E+00,-10.15062763E+00,+2.84057527E+00
-24.70000E-03,+184.92259407E+00,+64.32635957E+00,-9.98326361E+00,+2.83471753E+00
-24.67500E-03,+185.59205014E+00,+64.99581563E+00,-10.82008369E+00,+2.83806481E+00
-24.65000E-03,+186.59623423E+00,+64.99581563E+00,-12.32635984E+00,+2.82969661E+00
-24.62500E-03,+186.59623423E+00,+64.82845162E+00,-12.15899582E+00,+2.82467569E+00
-24.60000E-03,+188.26987439E+00,+64.99581563E+00,-14.00000000E+00,+2.82132841E+00
-24.57500E-03,+189.44142251E+00,+64.99581563E+00,-14.16736402E+00,+2.82467569E+00
-24.55000E-03,+190.27824259E+00,+63.65690351E+00,-15.67364016E+00,+2.82132841E+00
-24.52500E-03,+191.44979070E+00,+64.32635957E+00,-16.00836819E+00,+2.82049159E+00
-24.50000E-03,+192.28661078E+00,+64.32635957E+00,-16.67782426E+00,+2.82132841E+00
-24.47500E-03,+192.28661078E+00,+63.48953949E+00,-17.84937237E+00,+2.81547066E+00
-24.45000E-03,+193.62552291E+00,+64.66108760E+00,-18.68619245E+00,+2.81630748E+00
-24.42500E-03,+194.46234299E+00,+64.15899555E+00,-20.69456065E+00,+2.81798112E+00
-24.40000E-03,+194.29497898E+00,+63.65690351E+00,-20.02510458E+00,+2.81798112E+00
-24.37500E-03,+196.30334717E+00,+64.15899555E+00,-21.36401671E+00,+2.81798112E+00
-24.35000E-03,+196.63807520E+00,+63.65690351E+00,-22.03347278E+00,+2.81296020E+00
-24.32500E-03,+197.97698733E+00,+64.15899555E+00,-22.87029286E+00,+2.81379702E+00
-24.30000E-03,+198.31171536E+00,+63.65690351E+00,-22.70292884E+00,+2.80793928E+00
-24.27500E-03,+199.65062749E+00,+63.48953949E+00,-24.20920499E+00,+2.80375518E+00
-24.25000E-03,+200.32008356E+00,+63.65690351E+00,-25.04602507E+00,+2.79120288E+00
-24.22500E-03,+200.48744757E+00,+63.65690351E+00,-25.88284515E+00,+2.79120288E+00
