x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+163.31296819E+00,+49.80753011E+00,+18.20920455E+00,+2.18955014E+00
-24.97500E-03,+164.38409787E+00,+49.80753011E+00,+17.00418366E+00,+2.19959198E+00
-24.95000E-03,+165.18744513E+00,+50.07531253E+00,+15.26359794E+00,+2.20461290E+00
-24.92500E-03,+165.45522755E+00,+49.94142132E+00,+15.12970673E+00,+2.20628654E+00
-24.90000E-03,+167.06192207E+00,+50.34309494E+00,+14.46025068E+00,+2.20628654E+00
-24.87500E-03,+167.06192207E+00,+50.20920373E+00,+13.79079463E+00,+2.20042880E+00
-24.85000E-03,+167.32970449E+00,+50.07531253E+00,+13.92468584E+00,+2.19624470E+00
-24.82500E-03,+167.86526933E+00,+50.20920373E+00,+13.25522979E+00,+2.19624470E+00
-24.80000E-03,+169.20418143E+00,+50.34309494E+00,+11.78242648E+00,+2.18955014E+00
-24.77500E-03,+170.14141990E+00,+50.47698615E+00,+12.05020890E+00,+2.19206060E+00
-24.75000E-03,+170.00752869E+00,+50.34309494E+00,+10.97907922E+00,+2.19624470E+00
-24.72500E-03,+170.81087595E+00,+50.74476857E+00,+9.77405833E+00,+2.19624470E+00
-24.70000E-03,+171.34644079E+00,+50.87865978E+00,+9.10460228E+00,+2.19624470E+00
-24.67500E-03,+171.88200563E+00,+51.28033341E+00,+8.43514623E+00,+2.20461290E+00
-24.65000E-03,+172.95313531E+00,+50.61087736E+00,+8.30125502E+00,+2.20628654E+00
-24.62500E-03,+173.48870015E+00,+51.28033341E+00,+7.23012534E+00,+2.20293926E+00
-24.60000E-03,+174.02426499E+00,+50.87865978E+00,+6.96234292E+00,+2.20293926E+00
-24.57500E-03,+174.69372104E+00,+50.74476857E+00,+6.15899566E+00,+2.19791834E+00
-24.55000E-03,+175.63095951E+00,+50.87865978E+00,+5.62343082E+00,+2.19624470E+00
-24.52500E-03,+176.16652435E+00,+51.01255099E+00,+4.95397477E+00,+2.19289742E+00
-24.50000E-03,+176.70208919E+00,+50.87865978E+00,+4.82008356E+00,+2.18955014E+00
-24.47500E-03,+177.63932766E+00,+50.87865978E+00,+3.74895388E+00,+2.19122378E+00
-24.45000E-03,+178.04100129E+00,+50.87865978E+00,+2.41004178E+00,+2.19122378E+00
-24.42500E-03,+179.78158702E+00,+51.14644220E+00,+2.54393299E+00,+2.19206060E+00
-24.40000E-03,+179.91547823E+00,+50.87865978E+00,+1.07112968E+00,+2.19959198E+00
-24.37500E-03,+180.58493428E+00,+51.01255099E+00,+803.34726E-03,+2.19959198E+00
-24.35000E-03,+181.52217275E+00,+50.61087736E+00,+267.78242E-03,+2.20461290E+00
-24.32500E-03,+182.59330243E+00,+51.28033341E+00,-267.78242E-03,+2.20712337E+00
-24.30000E-03,+182.59330243E+00,+50.87865978E+00,-1.60669452E+00,+2.20963383E+00
-24.27500E-03,+183.12886727E+00,+50.87865978E+00,-1.20502089E+00,+2.20796019E+00
-24.25000E-03,+184.19999695E+00,+51.14644220E+00,-2.94560662E+00,+2.20628654E+00
-24.22500E-03,+184.73556179E+00,+50.74476857E+00,-3.21338904E+00,+2.20377608E+00
-24.20000E-03,+185.80669147E+00,+50.87865978E+00,-3.74895388E+00,+2.20628654E+00
-24.17500E-03,+185.80669147E+00,+50.87865978E+00,-4.28451872E+00,+2.19875516E+00
-24.15000E-03,+186.34225631E+00,+50.87865978E+00,-6.15899566E+00,+2.19959198E+00
-24.12500E-03,+187.01171236E+00,+51.28033341E+00,-6.42677808E+00,+2.19708152E+00
-24.10000E-03,+188.48451567E+00,+50.34309494E+00,-6.42677808E+00,+2.19624470E+00
-24.07500E-03,+189.15397172E+00,+49.94142132E+00,-6.96234292E+00,+2.20126562E+00
-24.05000E-03,+189.55564535E+00,+51.14644220E+00,-8.03347260E+00,+2.20461290E+00
-24.02500E-03,+190.62677503E+00,+51.14644220E+00,-9.10460228E+00,+2.20210244E+00
-24.00000E-03,+191.16233987E+00,+50.34309494E+00,-10.17573196E+00,+2.19959198E+00
-23.97500E-03,+191.96568713E+00,+50.87865978E+00,-10.30962317E+00,+2.19122378E+00
-23.95000E-03,+191.96568713E+00,+50.87865978E+00,-10.97907922E+00,+2.18955014E+00
-23.92500E-03,+193.30459923E+00,+50.47698615E+00,-11.51464406E+00,+2.18787650E+00
-23.90000E-03,+193.84016407E+00,+50.34309494E+00,-12.85355616E+00,+2.18285558E+00
-23.87500E-03,+195.17907616E+00,+49.94142132E+00,-13.12133858E+00,+2.18787650E+00
-23.85000E-03,+195.17907616E+00,+50.34309494E+00,-13.38912100E+00,+2.18955014E+00
-23.82500E-03,+195.98242342E+00,+49.94142132E+00,-14.46025068E+00,+2.19206060E+00
-23.80000E-03,+196.51798826E+00,+49.80753011E+00,-13.92468584E+00,+2.19624470E+00
-23.77500E-03,+197.05355310E+00,+49.80753011E+00,-15.39748915E+00,+2.19206060E+00
-23.75000E-03,+197.85690036E+00,+50.07531253E+00,-16.06694520E+00,+2.18452922E+00
-23.72500E-03,+198.66024762E+00,+49.80753011E+00,-16.60251004E+00,+2.18620286E+00
-23.70000E-03,+199.19581246E+00,+49.80753011E+00,-17.67363971E+00,+2.17950830E+00
-23.67500E-03,+199.99915972E+00,+49.53974769E+00,-17.80753092E+00,+2.18034512E+00
-23.65000E-03,+199.99915972E+00,+50.07531253E+00,-18.47698697E+00,+2.17448738E+00
-23.62500E-03,+201.33807182E+00,+49.67363890E+00,-19.28033423E+00,+2.17365056E+00
-23.60000E-03,+201.87363666E+00,+49.27196527E+00,-19.81589907E+00,+2.17616102E+00
-23.57500E-03,+203.21254876E+00,+48.33472680E+00,-20.75313754E+00,+2.17448738E+00
-23.55000E-03,+203.21254876E+00,+49.00418285E+00,-20.88702875E+00,+2.17448738E+00
-23.52500E-03,+203.88200481E+00,+48.60250922E+00,-21.42259359E+00,+2.18034512E+00
-23.50000E-03,+204.01589602E+00,+48.73640043E+00,-22.49372327E+00,+2.17616102E+00
-23.47500E-03,+204.28367844E+00,+49.13807406E+00,-22.49372327E+00,+2.17448738E+00
-23.45000E-03,+204.81924328E+00,+48.73640043E+00,-23.02928811E+00,+2.17114010E+00
-23.42500E-03,+205.62259054E+00,+48.73640043E+00,-23.43096174E+00,+2.16779282E+00
-23.40000E-03,+206.69372022E+00,+48.73640043E+00,-24.10041779E+00,+2.16611918E+00
-23.37500E-03,+207.09539385E+00,+48.46861801E+00,-24.63598263E+00,+2.16193508E+00
