x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+89.05125526E+00,+23.09623423E+00,+6.69456065E+00,+1.03310671E+00
-24.97500E-03,+88.13075317E+00,+23.17991624E+00,+7.78242675E+00,+1.03645399E+00
-24.95000E-03,+88.71652722E+00,+22.92887022E+00,+7.86610876E+00,+1.04147491E+00
-24.92500E-03,+88.21443518E+00,+23.01255222E+00,+7.61506274E+00,+1.04063809E+00
-24.90000E-03,+87.71234313E+00,+23.09623423E+00,+8.36820081E+00,+1.04314855E+00
-24.87500E-03,+87.71234313E+00,+23.01255222E+00,+9.03765687E+00,+1.03561717E+00
-24.85000E-03,+87.04288706E+00,+23.09623423E+00,+9.20502089E+00,+1.03645399E+00
-24.82500E-03,+87.12656907E+00,+22.76150620E+00,+9.20502089E+00,+1.03394353E+00
-24.80000E-03,+86.37343100E+00,+22.76150620E+00,+9.37238491E+00,+1.03645399E+00
-24.77500E-03,+86.28974899E+00,+22.76150620E+00,+9.79079495E+00,+1.03561717E+00
-24.75000E-03,+86.03870296E+00,+22.76150620E+00,+9.70711294E+00,+1.04147491E+00
-24.72500E-03,+85.78765694E+00,+22.76150620E+00,+10.04184097E+00,+1.04565901E+00
-24.70000E-03,+85.36924690E+00,+22.76150620E+00,+10.71129704E+00,+1.04649583E+00
-24.67500E-03,+85.36924690E+00,+22.51046018E+00,+10.62761503E+00,+1.04314855E+00
-24.65000E-03,+85.36924690E+00,+22.76150620E+00,+11.21338908E+00,+1.03980127E+00
-24.62500E-03,+84.78347284E+00,+22.42677817E+00,+11.04602507E+00,+1.03729081E+00
-24.60000E-03,+85.03451887E+00,+22.42677817E+00,+11.38075310E+00,+1.03645399E+00
-24.57500E-03,+84.28138079E+00,+22.51046018E+00,+11.79916314E+00,+1.03729081E+00
-24.55000E-03,+84.19769879E+00,+22.42677817E+00,+11.88284515E+00,+1.03812763E+00
-24.52500E-03,+83.52824272E+00,+22.42677817E+00,+12.05020916E+00,+1.04231173E+00
-24.50000E-03,+83.36087871E+00,+22.42677817E+00,+12.38493720E+00,+1.04314855E+00
-24.47500E-03,+83.61192473E+00,+22.17573214E+00,+12.46861921E+00,+1.03812763E+00
-24.45000E-03,+83.19351469E+00,+22.09205014E+00,+12.88702925E+00,+1.02975943E+00
-24.42500E-03,+83.10983268E+00,+22.34309616E+00,+13.30543929E+00,+1.03561717E+00
-24.40000E-03,+83.02615067E+00,+22.42677817E+00,+13.05439326E+00,+1.03980127E+00
-24.37500E-03,+82.94246867E+00,+22.00836813E+00,+13.30543929E+00,+1.03980127E+00
-24.35000E-03,+82.35669461E+00,+22.09205014E+00,+13.55648531E+00,+1.04649583E+00
-24.32500E-03,+82.44037662E+00,+22.09205014E+00,+13.55648531E+00,+1.04649583E+00
-24.30000E-03,+82.02196658E+00,+22.42677817E+00,+14.39330539E+00,+1.04649583E+00
-24.27500E-03,+82.02196658E+00,+22.09205014E+00,+13.72384933E+00,+1.03143307E+00
-24.25000E-03,+81.51987453E+00,+21.92468612E+00,+14.39330539E+00,+1.03310671E+00
-24.22500E-03,+81.68723854E+00,+21.84100411E+00,+14.47698740E+00,+1.03645399E+00
-24.20000E-03,+81.35251051E+00,+21.42259407E+00,+15.06276146E+00,+1.02975943E+00
-24.17500E-03,+81.60355654E+00,+21.84100411E+00,+14.81171543E+00,+1.03310671E+00
-24.15000E-03,+81.35251051E+00,+21.42259407E+00,+15.23012547E+00,+1.03143307E+00
-24.12500E-03,+81.26882850E+00,+21.75732210E+00,+14.64435142E+00,+1.03478035E+00
-24.10000E-03,+81.01778248E+00,+21.42259407E+00,+15.39748949E+00,+1.02975943E+00
-24.07500E-03,+80.68305445E+00,+21.58995809E+00,+15.06276146E+00,+1.03226989E+00
-24.05000E-03,+80.68305445E+00,+21.58995809E+00,+15.39748949E+00,+1.03478035E+00
-24.02500E-03,+80.34832641E+00,+21.42259407E+00,+15.48117150E+00,+1.02641215E+00
-24.00000E-03,+80.34832641E+00,+21.42259407E+00,+16.06694555E+00,+1.03310671E+00
-23.97500E-03,+80.43200842E+00,+21.42259407E+00,+15.89958154E+00,+1.02892261E+00
-23.95000E-03,+80.51569043E+00,+21.58995809E+00,+16.23430957E+00,+1.02975943E+00
-23.92500E-03,+79.92991637E+00,+21.42259407E+00,+16.15062756E+00,+1.03226989E+00
-23.90000E-03,+80.01359838E+00,+21.42259407E+00,+16.40167359E+00,+1.03310671E+00
-23.87500E-03,+79.67887035E+00,+21.50627608E+00,+16.31799158E+00,+1.04147491E+00
-23.85000E-03,+79.51150633E+00,+21.42259407E+00,+16.23430957E+00,+1.03812763E+00
-23.82500E-03,+79.76255236E+00,+21.08786604E+00,+16.15062756E+00,+1.03561717E+00
-23.80000E-03,+79.67887035E+00,+21.42259407E+00,+16.40167359E+00,+1.02975943E+00
-23.77500E-03,+79.76255236E+00,+21.17154805E+00,+16.31799158E+00,+1.03394353E+00
-23.75000E-03,+79.51150633E+00,+21.42259407E+00,+16.73640162E+00,+1.03478035E+00
-23.72500E-03,+79.59518834E+00,+21.17154805E+00,+16.48535559E+00,+1.03812763E+00
-23.70000E-03,+79.34414232E+00,+21.42259407E+00,+17.07112965E+00,+1.03310671E+00
-23.67500E-03,+79.26046031E+00,+21.33891206E+00,+16.90376563E+00,+1.02975943E+00
-23.65000E-03,+79.51150633E+00,+21.08786604E+00,+17.07112965E+00,+1.02808579E+00
-23.62500E-03,+79.09309629E+00,+21.33891206E+00,+16.65271961E+00,+1.03226989E+00
-23.60000E-03,+79.34414232E+00,+21.08786604E+00,+17.07112965E+00,+1.03310671E+00
-23.57500E-03,+79.59518834E+00,+21.08786604E+00,+16.73640162E+00,+1.03226989E+00
-23.55000E-03,+79.17677830E+00,+21.25523005E+00,+16.90376563E+00,+1.03310671E+00
-23.52500E-03,+79.09309629E+00,+21.33891206E+00,+16.56903760E+00,+1.03059625E+00
-23.50000E-03,+79.00941429E+00,+21.42259407E+00,+16.73640162E+00,+1.02975943E+00
-23.47500E-03,+79.17677830E+00,+21.42259407E+00,+16.56903760E+00,+1.02390169E+00
-23.45000E-03,+79.17677830E+00,+21.08786604E+00,+16.90376563E+00,+1.02139123E+00
-23.42500E-03,+78.75836826E+00,+21.42259407E+00,+16.48535559E+00,+1.02139123E+00
-23.40000E-03,+79.34414232E+00,+21.42259407E+00,+17.07112965E+00,+1.02306487E+00
-23.37500E-03,+79.34414232E+00,+21.08786604E+00,+16.40167359E+00,+1.02139123E+00
-23.35000E-03,+79.51150633E+00,+21.25523005E+00,+16.73640162E+00,+1.02473851E+00
-23.32500E-03,+79.42782433E+00,+21.33891206E+00,+17.07112965E+00,+1.02724897E+00
-23.30000E-03,+79.34414232E+00,+21.42259407E+00,+16.06694555E+00,+1.02641215E+00
-23.27500E-03,+79.59518834E+00,+21.17154805E+00,+16.65271961E+00,+1.02473851E+00
-23.25000E-03,+79.67887035E+00,+21.42259407E+00,+16.73640162E+00,+1.02473851E+00
-23.22500E-03,+79.92991637E+00,+21.42259407E+00,+16.48535559E+00,+1.02975943E+00
-23.20000E-03,+80.01359838E+00,+21.08786604E+00,+16.73640162E+00,+1.02306487E+00
-23.17500E-03,+79.67887035E+00,+21.42259407E+00,+15.89958154E+00,+1.01971759E+00
-23.15000E-03,+79.67887035E+00,+21.58995809E+00,+16.40167359E+00,+1.02306487E+00
-23.12500E-03,+79.92991637E+00,+21.42259407E+00,+16.06694555E+00,+1.02557533E+00
-23.10000E-03,+80.01359838E+00,+21.42259407E+00,+16.06694555E+00,+1.02641215E+00
-23.07500E-03,+79.67887035E+00,+21.50627608E+00,+15.98326354E+00,+1.02641215E+00
-23.05000E-03,+80.18096240E+00,+21.75732210E+00,+15.73221752E+00,+1.02139123E+00
-23.02500E-03,+80.09728039E+00,+21.42259407E+00,+15.73221752E+00,+1.02808579E+00
-23.00000E-03,+80.34832641E+00,+21.75732210E+00,+15.39748949E+00,+1.02641215E+00
-22.97500E-03,+80.34832641E+00,+21.84100411E+00,+15.64853551E+00,+1.02557533E+00
-22.95000E-03,+80.85041846E+00,+21.75732210E+00,+15.06276146E+00,+1.02306487E+00
-22.92500E-03,+81.01778248E+00,+21.75732210E+00,+15.14644346E+00,+1.02390169E+00
-22.90000E-03,+80.68305445E+00,+21.75732210E+00,+15.06276146E+00,+1.02306487E+00
-22.87500E-03,+81.35251051E+00,+21.84100411E+00,+14.81171543E+00,+1.02641215E+00
-22.85000E-03,+81.35251051E+00,+21.92468612E+00,+14.89539744E+00,+1.02641215E+00
-22.82500E-03,+81.43619252E+00,+21.84100411E+00,+14.30962338E+00,+1.02473851E+00
-22.80000E-03,+81.68723854E+00,+22.42677817E+00,+15.06276146E+00,+1.02975943E+00
-22.77500E-03,+81.77092055E+00,+21.84100411E+00,+14.47698740E+00,+1.02641215E+00
-22.75000E-03,+81.85460256E+00,+22.25941415E+00,+14.22594137E+00,+1.03143307E+00
-22.72500E-03,+82.10564858E+00,+22.34309616E+00,+14.30962338E+00,+1.03645399E+00
-22.70000E-03,+82.02196658E+00,+22.09205014E+00,+14.05857736E+00,+1.03645399E+00
-22.67500E-03,+82.60774063E+00,+22.42677817E+00,+13.30543929E+00,+1.03896445E+00
-22.65000E-03,+82.85878666E+00,+22.09205014E+00,+13.22175728E+00,+1.03980127E+00
-22.62500E-03,+82.69142264E+00,+22.42677817E+00,+12.55230121E+00,+1.04063809E+00
-22.60000E-03,+83.69560674E+00,+22.09205014E+00,+13.38912129E+00,+1.03310671E+00
-22.57500E-03,+83.36087871E+00,+22.34309616E+00,+12.80334724E+00,+1.04314855E+00
-22.55000E-03,+83.36087871E+00,+22.59414218E+00,+12.21757318E+00,+1.04147491E+00
-22.52500E-03,+84.03033477E+00,+22.67782419E+00,+12.38493720E+00,+1.03812763E+00
-22.50000E-03,+84.36506280E+00,+22.76150620E+00,+11.71548113E+00,+1.04314855E+00
-22.47500E-03,+84.03033477E+00,+23.01255222E+00,+11.63179912E+00,+1.04147491E+00
-22.45000E-03,+84.36506280E+00,+22.59414218E+00,+11.38075310E+00,+1.04314855E+00
-22.42500E-03,+84.61610883E+00,+23.01255222E+00,+11.21338908E+00,+1.04565901E+00
-22.40000E-03,+85.03451887E+00,+22.76150620E+00,+11.71548113E+00,+1.04314855E+00
-22.37500E-03,+85.03451887E+00,+23.09623423E+00,+10.96234306E+00,+1.04482219E+00
-22.35000E-03,+85.53661092E+00,+23.26359825E+00,+10.87866105E+00,+1.04314855E+00
-22.32500E-03,+85.62029292E+00,+23.34728026E+00,+10.71129704E+00,+1.04398537E+00
-22.30000E-03,+85.70397493E+00,+23.09623423E+00,+10.37656900E+00,+1.04649583E+00
-22.27500E-03,+86.03870296E+00,+23.43096226E+00,+9.79079495E+00,+1.04482219E+00
-22.25000E-03,+86.20606698E+00,+23.26359825E+00,+9.87447695E+00,+1.04649583E+00
-22.22500E-03,+86.37343100E+00,+23.34728026E+00,+9.37238491E+00,+1.04984311E+00
-22.20000E-03,+86.37343100E+00,+23.43096226E+00,+9.03765687E+00,+1.04984311E+00
-22.17500E-03,+87.37761509E+00,+23.17991624E+00,+8.78661085E+00,+1.05067993E+00
-22.15000E-03,+87.71234313E+00,+23.09623423E+00,+8.36820081E+00,+1.05151675E+00
-22.12500E-03,+87.46129710E+00,+23.43096226E+00,+8.28451880E+00,+1.05653767E+00
-22.10000E-03,+87.71234313E+00,+23.43096226E+00,+7.69874474E+00,+1.05319039E+00
-22.07500E-03,+88.38179919E+00,+23.17991624E+00,+7.69874474E+00,+1.04984311E+00
-22.05000E-03,+88.54916321E+00,+23.59832628E+00,+7.36401671E+00,+1.05151675E+00
-22.02500E-03,+89.38598329E+00,+23.43096226E+00,+7.02928868E+00,+1.05067993E+00
