x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+213.89487439E+00,+30.46025094E+00,-24.76987439E+00,+1.49467576E+00
-24.97500E-03,+213.56014636E+00,+30.87866098E+00,-24.35146435E+00,+1.48881802E+00
-24.95000E-03,+213.89487439E+00,+30.46025094E+00,-24.43514636E+00,+1.48798120E+00
-24.92500E-03,+213.22541833E+00,+30.54393295E+00,-24.51882837E+00,+1.48547074E+00
-24.90000E-03,+213.22541833E+00,+30.46025094E+00,-24.10041833E+00,+1.49132848E+00
-24.87500E-03,+213.22541833E+00,+30.79497898E+00,-24.35146435E+00,+1.49216530E+00
-24.85000E-03,+212.72332628E+00,+30.79497898E+00,-23.93305431E+00,+1.48965484E+00
-24.82500E-03,+212.97437230E+00,+30.79497898E+00,-23.76569030E+00,+1.48881802E+00
-24.80000E-03,+212.55596226E+00,+30.79497898E+00,-24.10041833E+00,+1.49467576E+00
-24.77500E-03,+212.63964427E+00,+30.71129697E+00,-23.43096226E+00,+1.49551258E+00
-24.75000E-03,+212.22123423E+00,+31.12970701E+00,-23.09623423E+00,+1.48798120E+00
-24.72500E-03,+211.97018821E+00,+30.79497898E+00,-23.01255222E+00,+1.48714438E+00
-24.70000E-03,+211.88650620E+00,+31.12970701E+00,-23.43096226E+00,+1.49132848E+00
-24.67500E-03,+211.63546018E+00,+31.21338902E+00,-22.67782419E+00,+1.48296028E+00
-24.65000E-03,+211.55177817E+00,+31.12970701E+00,-22.59414218E+00,+1.48463392E+00
-24.62500E-03,+211.55177817E+00,+31.04602500E+00,-22.09205014E+00,+1.48128664E+00
-24.60000E-03,+211.21705014E+00,+31.46443504E+00,-22.09205014E+00,+1.48798120E+00
-24.57500E-03,+210.71495809E+00,+31.46443504E+00,-21.58995809E+00,+1.48714438E+00
-24.55000E-03,+210.88232210E+00,+31.46443504E+00,-21.42259407E+00,+1.48463392E+00
-24.52500E-03,+210.54759407E+00,+31.21338902E+00,-21.08786604E+00,+1.48547074E+00
-24.50000E-03,+210.21286604E+00,+31.46443504E+00,-21.08786604E+00,+1.49132848E+00
-24.47500E-03,+209.79445600E+00,+31.71548107E+00,-20.41840997E+00,+1.48881802E+00
-24.45000E-03,+209.54340997E+00,+31.63179906E+00,-20.41840997E+00,+1.48798120E+00
-24.42500E-03,+208.87395391E+00,+31.54811705E+00,-20.16736395E+00,+1.48463392E+00
-24.40000E-03,+208.53922588E+00,+32.13389111E+00,-19.74895391E+00,+1.48128664E+00
-24.37500E-03,+208.79027190E+00,+32.05020910E+00,-19.74895391E+00,+1.47877618E+00
-24.35000E-03,+208.37186186E+00,+31.96652709E+00,-19.58158989E+00,+1.47459208E+00
-24.32500E-03,+208.53922588E+00,+32.05020910E+00,-18.57740580E+00,+1.47710254E+00
-24.30000E-03,+207.86976981E+00,+32.13389111E+00,-19.07949784E+00,+1.47793936E+00
-24.27500E-03,+207.28399576E+00,+32.05020910E+00,-18.66108780E+00,+1.48379710E+00
-24.25000E-03,+206.86558571E+00,+32.30125512E+00,-18.24267776E+00,+1.48630756E+00
-24.22500E-03,+207.11663174E+00,+32.21757311E+00,-17.82426772E+00,+1.48714438E+00
-24.20000E-03,+206.53085768E+00,+32.46861914E+00,-17.40585768E+00,+1.48463392E+00
-24.17500E-03,+206.27981166E+00,+32.21757311E+00,-16.90376563E+00,+1.47877618E+00
-24.15000E-03,+205.35930957E+00,+32.30125512E+00,-16.73640162E+00,+1.47626572E+00
-24.12500E-03,+205.27562756E+00,+32.21757311E+00,-16.06694555E+00,+1.47291844E+00
-24.10000E-03,+204.85721752E+00,+32.46861914E+00,-15.73221752E+00,+1.47124480E+00
-24.07500E-03,+204.52248949E+00,+32.71966516E+00,-15.64853551E+00,+1.47124480E+00
-24.05000E-03,+204.35512547E+00,+32.97071119E+00,-15.06276146E+00,+1.47291844E+00
-24.02500E-03,+203.93671543E+00,+33.05439319E+00,-14.39330539E+00,+1.47710254E+00
-24.00000E-03,+203.51830539E+00,+33.13807520E+00,-14.39330539E+00,+1.47459208E+00
-23.97500E-03,+203.26725937E+00,+32.88702918E+00,-14.05857736E+00,+1.47961300E+00
-23.95000E-03,+203.01621334E+00,+32.97071119E+00,-13.89121334E+00,+1.47793936E+00
-23.92500E-03,+202.34675728E+00,+33.05439319E+00,-13.30543929E+00,+1.47375526E+00
