x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+138.26955795E+00,+50.36610794E+00,+34.70083618E+00,+2.85861404E+00
-24.97500E-03,+138.42018557E+00,+49.76359749E+00,+35.15271902E+00,+2.85861404E+00
-24.95000E-03,+138.26955795E+00,+49.76359749E+00,+35.90585709E+00,+2.84857219E+00
-24.92500E-03,+137.36579227E+00,+49.91422510E+00,+35.45397425E+00,+2.84606173E+00
-24.90000E-03,+136.46202660E+00,+49.76359749E+00,+36.50836754E+00,+2.82848851E+00
-24.87500E-03,+136.61265421E+00,+49.91422510E+00,+36.20711231E+00,+2.83099897E+00
-24.85000E-03,+136.46202660E+00,+49.46234226E+00,+36.80962276E+00,+2.82848851E+00
-24.82500E-03,+136.01014376E+00,+49.76359749E+00,+36.05648470E+00,+2.81844667E+00
-24.80000E-03,+137.06453705E+00,+49.76359749E+00,+38.31589890E+00,+2.82848851E+00
-24.77500E-03,+136.01014376E+00,+49.61296988E+00,+37.56276083E+00,+2.81844667E+00
-24.75000E-03,+136.46202660E+00,+50.06485271E+00,+38.31589890E+00,+2.82848851E+00
-24.72500E-03,+135.70888853E+00,+49.46234226E+00,+38.31589890E+00,+2.83350943E+00
-24.70000E-03,+135.85951614E+00,+49.76359749E+00,+38.91840935E+00,+2.81844667E+00
-24.67500E-03,+135.40763330E+00,+49.61296988E+00,+39.06903696E+00,+2.80840483E+00
-24.65000E-03,+134.95575047E+00,+48.55857658E+00,+39.21966457E+00,+2.81342575E+00
-24.62500E-03,+135.25700569E+00,+49.01045942E+00,+38.61715412E+00,+2.79334207E+00
-24.60000E-03,+134.65449524E+00,+49.16108704E+00,+39.52091980E+00,+2.78832115E+00
-24.57500E-03,+134.80512285E+00,+49.61296988E+00,+39.37029219E+00,+2.78832115E+00
-24.55000E-03,+134.95575047E+00,+49.16108704E+00,+39.52091980E+00,+2.77325838E+00
-24.52500E-03,+134.80512285E+00,+49.01045942E+00,+39.37029219E+00,+2.78832115E+00
-24.50000E-03,+134.65449524E+00,+49.76359749E+00,+38.91840935E+00,+2.75819562E+00
-24.47500E-03,+134.50386763E+00,+49.16108704E+00,+38.91840935E+00,+2.76572700E+00
-24.45000E-03,+134.65449524E+00,+49.46234226E+00,+39.82217503E+00,+2.75819562E+00
-24.42500E-03,+135.25700569E+00,+49.16108704E+00,+39.82217503E+00,+2.75317470E+00
-24.40000E-03,+134.05198479E+00,+50.36610794E+00,+40.12343025E+00,+2.75819562E+00
-24.37500E-03,+135.85951614E+00,+48.70920420E+00,+39.97280264E+00,+2.75066424E+00
-24.35000E-03,+134.35324001E+00,+48.85983181E+00,+39.21966457E+00,+2.73811194E+00
-24.32500E-03,+134.20261240E+00,+48.70920420E+00,+39.97280264E+00,+2.72807010E+00
-24.30000E-03,+135.25700569E+00,+49.76359749E+00,+38.91840935E+00,+2.70798642E+00
-24.27500E-03,+134.65449524E+00,+48.85983181E+00,+39.97280264E+00,+2.72304918E+00
-24.25000E-03,+134.95575047E+00,+49.16108704E+00,+39.82217503E+00,+2.71300734E+00
-24.22500E-03,+135.25700569E+00,+49.01045942E+00,+38.91840935E+00,+2.72555964E+00
-24.20000E-03,+135.85951614E+00,+48.55857658E+00,+40.12343025E+00,+2.71802826E+00
-24.17500E-03,+136.16077137E+00,+48.40794897E+00,+39.97280264E+00,+2.70045504E+00
-24.15000E-03,+135.55826092E+00,+48.85983181E+00,+39.21966457E+00,+2.70798642E+00
-24.12500E-03,+136.46202660E+00,+49.31171465E+00,+38.76778173E+00,+2.70798642E+00
-24.10000E-03,+135.85951614E+00,+49.16108704E+00,+38.31589890E+00,+2.69794457E+00
-24.07500E-03,+135.85951614E+00,+49.31171465E+00,+39.52091980E+00,+2.67786089E+00
-24.05000E-03,+136.46202660E+00,+49.46234226E+00,+38.91840935E+00,+2.66279813E+00
-24.02500E-03,+136.46202660E+00,+49.31171465E+00,+38.76778173E+00,+2.64773537E+00
-24.00000E-03,+137.66704750E+00,+49.16108704E+00,+38.91840935E+00,+2.67786089E+00
-23.97500E-03,+136.46202660E+00,+50.06485271E+00,+38.91840935E+00,+2.66781905E+00
-23.95000E-03,+137.36579227E+00,+49.46234226E+00,+38.61715412E+00,+2.66781905E+00
-23.92500E-03,+137.66704750E+00,+49.91422510E+00,+38.16527128E+00,+2.65526675E+00
-23.90000E-03,+137.66704750E+00,+49.76359749E+00,+38.31589890E+00,+2.64773537E+00
-23.87500E-03,+138.57081318E+00,+50.06485271E+00,+37.71338844E+00,+2.63769353E+00
-23.85000E-03,+137.96830273E+00,+50.06485271E+00,+37.71338844E+00,+2.63267261E+00
-23.82500E-03,+138.42018557E+00,+50.36610794E+00,+36.96025038E+00,+2.63016215E+00
-23.80000E-03,+138.26955795E+00,+50.96861839E+00,+37.71338844E+00,+2.62765169E+00
-23.77500E-03,+139.32395124E+00,+50.96861839E+00,+36.80962276E+00,+2.62012030E+00
-23.75000E-03,+139.17332363E+00,+50.06485271E+00,+35.30334663E+00,+2.61258892E+00
-23.72500E-03,+140.52897215E+00,+50.51673555E+00,+35.45397425E+00,+2.61258892E+00
-23.70000E-03,+140.67959976E+00,+50.96861839E+00,+34.70083618E+00,+2.61760984E+00
-23.67500E-03,+141.28211021E+00,+50.36610794E+00,+35.00209141E+00,+2.59752616E+00
-23.65000E-03,+141.58336544E+00,+50.96861839E+00,+35.00209141E+00,+2.58246340E+00
-23.62500E-03,+142.18587589E+00,+50.36610794E+00,+34.39958096E+00,+2.58497386E+00
-23.60000E-03,+142.48713112E+00,+51.57112885E+00,+34.70083618E+00,+2.59752616E+00
-23.57500E-03,+142.48713112E+00,+51.11924601E+00,+33.04393244E+00,+2.56991110E+00
-23.55000E-03,+143.69215202E+00,+50.96861839E+00,+33.49581528E+00,+2.57744248E+00
-23.52500E-03,+143.24026918E+00,+51.57112885E+00,+32.29079437E+00,+2.58246340E+00
-23.50000E-03,+144.29466248E+00,+51.57112885E+00,+31.68828392E+00,+2.57744248E+00
-23.47500E-03,+144.29466248E+00,+51.57112885E+00,+30.93514586E+00,+2.57493202E+00
-23.45000E-03,+145.80093861E+00,+51.57112885E+00,+31.68828392E+00,+2.57242156E+00
-23.42500E-03,+146.40344906E+00,+51.11924601E+00,+31.38702869E+00,+2.54982742E+00
-23.40000E-03,+146.10219383E+00,+52.17363930E+00,+30.48326302E+00,+2.55735880E+00
-23.37500E-03,+146.10219383E+00,+52.32426691E+00,+29.42886972E+00,+2.55986926E+00
-23.35000E-03,+147.60846996E+00,+51.87238407E+00,+28.97698689E+00,+2.55735880E+00
-23.32500E-03,+148.51223564E+00,+52.32426691E+00,+28.82635927E+00,+2.55735880E+00
-23.30000E-03,+149.11474609E+00,+52.77614975E+00,+27.47071075E+00,+2.55735880E+00
-23.27500E-03,+149.26537371E+00,+53.22803259E+00,+27.92259359E+00,+2.55233788E+00
-23.25000E-03,+149.71725655E+00,+52.77614975E+00,+27.16945553E+00,+2.53727511E+00
-23.22500E-03,+150.92227745E+00,+52.47489452E+00,+26.26568985E+00,+2.54480650E+00
-23.20000E-03,+150.92227745E+00,+52.77614975E+00,+26.26568985E+00,+2.53727511E+00
-23.17500E-03,+152.12729836E+00,+52.77614975E+00,+25.81380701E+00,+2.53225419E+00
-23.15000E-03,+152.12729836E+00,+53.07740498E+00,+24.75941372E+00,+2.52221235E+00
-23.12500E-03,+153.33231926E+00,+53.67991543E+00,+24.45815849E+00,+2.52723327E+00
-23.10000E-03,+153.33231926E+00,+53.98117065E+00,+23.85564804E+00,+2.53727511E+00
-23.07500E-03,+153.93482971E+00,+52.92677736E+00,+22.04811668E+00,+2.53727511E+00
-23.05000E-03,+155.13985062E+00,+53.37866020E+00,+21.14435101E+00,+2.51719143E+00
-23.02500E-03,+155.59173346E+00,+53.37866020E+00,+21.89748907E+00,+2.51719143E+00
-23.00000E-03,+155.74236107E+00,+53.37866020E+00,+20.84309578E+00,+2.51719143E+00
-22.97500E-03,+157.39926481E+00,+53.52928782E+00,+19.93933010E+00,+2.52221235E+00
-22.95000E-03,+157.54989243E+00,+53.67991543E+00,+19.33681965E+00,+2.51217051E+00
-22.92500E-03,+158.00177526E+00,+54.13179827E+00,+18.13179874E+00,+2.50966005E+00
-22.90000E-03,+159.95993423E+00,+53.98117065E+00,+18.43305397E+00,+2.51719143E+00
-22.87500E-03,+159.65867901E+00,+53.83054304E+00,+17.37866068E+00,+2.51970189E+00
-22.85000E-03,+160.86369991E+00,+53.98117065E+00,+16.62552261E+00,+2.52221235E+00
-22.82500E-03,+162.06872082E+00,+53.67991543E+00,+16.02301216E+00,+2.51217051E+00
-22.80000E-03,+162.36997604E+00,+54.58368111E+00,+15.42050171E+00,+2.50714959E+00
-22.77500E-03,+163.27374172E+00,+54.13179827E+00,+15.11924648E+00,+2.50966005E+00
-22.75000E-03,+163.27374172E+00,+54.58368111E+00,+14.21548080E+00,+2.50212867E+00
-22.72500E-03,+164.62939024E+00,+54.58368111E+00,+13.46234274E+00,+2.49710775E+00
-22.70000E-03,+165.38252831E+00,+54.58368111E+00,+11.80543900E+00,+2.51719143E+00
-22.67500E-03,+165.53315592E+00,+55.03556395E+00,+11.50418377E+00,+2.50463913E+00
-22.65000E-03,+166.88880444E+00,+54.88493633E+00,+10.90167332E+00,+2.50212867E+00
-22.62500E-03,+167.34068727E+00,+55.18619156E+00,+10.90167332E+00,+2.49961821E+00
-22.60000E-03,+168.39508057E+00,+54.58368111E+00,+9.39539719E+00,+2.51719143E+00
-22.57500E-03,+169.44947386E+00,+54.73430872E+00,+8.49163151E+00,+2.48957637E+00
-22.55000E-03,+169.90135670E+00,+55.18619156E+00,+7.88912106E+00,+2.48204499E+00
-22.52500E-03,+170.35323954E+00,+54.88493633E+00,+6.98535538E+00,+2.48204499E+00
-22.50000E-03,+171.40763283E+00,+55.18619156E+00,+5.17782402E+00,+2.48706591E+00
-22.47500E-03,+172.46202612E+00,+54.88493633E+00,+5.32845163E+00,+2.48957637E+00
-22.45000E-03,+172.61265373E+00,+54.88493633E+00,+5.17782402E+00,+2.48204499E+00
-22.42500E-03,+173.36579180E+00,+55.63807440E+00,+4.12343073E+00,+2.48455545E+00
-22.40000E-03,+175.02269554E+00,+55.18619156E+00,+2.76778221E+00,+2.48706591E+00
-22.37500E-03,+176.07708883E+00,+55.03556395E+00,+2.76778221E+00,+2.47702407E+00
-22.35000E-03,+175.62520599E+00,+55.18619156E+00,+1.56276131E+00,+2.48706591E+00
-22.32500E-03,+177.13148212E+00,+54.73430872E+00,+1.41213369E+00,+2.46949269E+00
-22.30000E-03,+177.43273735E+00,+55.18619156E+00,+960.25085E-03,+2.47702407E+00
-22.27500E-03,+178.48713064E+00,+55.18619156E+00,-1.14853573E+00,+2.47451361E+00
-22.25000E-03,+179.54152393E+00,+54.58368111E+00,-2.35355663E+00,+2.51217051E+00
-22.22500E-03,+179.84277916E+00,+54.58368111E+00,-2.65481186E+00,+2.51468097E+00
-22.20000E-03,+181.04780006E+00,+55.18619156E+00,-3.85983276E+00,+2.52723327E+00
-22.17500E-03,+181.19842768E+00,+54.73430872E+00,-4.61297083E+00,+2.51217051E+00
-22.15000E-03,+182.25282097E+00,+55.18619156E+00,-5.36610889E+00,+2.48706591E+00
-22.12500E-03,+182.85533142E+00,+55.18619156E+00,-4.91422606E+00,+2.49208683E+00
-22.10000E-03,+184.06035233E+00,+55.18619156E+00,-6.87238502E+00,+2.44689854E+00
-22.07500E-03,+184.66286278E+00,+54.58368111E+00,-6.87238503E+00,+2.46447176E+00
-22.05000E-03,+185.26537323E+00,+54.58368111E+00,-7.77615070E+00,+2.45694038E+00
-22.02500E-03,+185.86788368E+00,+54.58368111E+00,-8.67991638E+00,+2.45945084E+00
-22.00000E-03,+187.07290459E+00,+55.18619156E+00,-8.67991638E+00,+2.46698222E+00
-21.97500E-03,+187.82604265E+00,+54.58368111E+00,-10.78870296E+00,+2.45945084E+00
-21.95000E-03,+188.88043594E+00,+54.28242588E+00,-10.78870296E+00,+2.46196130E+00
-21.92500E-03,+189.18169117E+00,+54.58368111E+00,-11.08995819E+00,+2.46447176E+00
-21.90000E-03,+189.48294640E+00,+55.18619156E+00,-11.69246864E+00,+2.45694038E+00
-21.87500E-03,+191.13985014E+00,+54.73430872E+00,-12.89748955E+00,+2.45694038E+00
-21.85000E-03,+191.29047775E+00,+54.28242588E+00,-14.10251045E+00,+2.44187762E+00
-21.82500E-03,+192.49549866E+00,+54.73430872E+00,-13.95188284E+00,+2.44689854E+00
-21.80000E-03,+192.49549866E+00,+53.98117065E+00,-15.30753136E+00,+2.45694038E+00
-21.77500E-03,+193.54989195E+00,+54.58368111E+00,-16.21129704E+00,+2.44940900E+00
-21.75000E-03,+194.90554047E+00,+53.98117065E+00,-16.51255226E+00,+2.45694038E+00
-21.72500E-03,+195.80930614E+00,+53.98117065E+00,-17.26569033E+00,+2.44689854E+00
-21.70000E-03,+196.11056137E+00,+53.98117065E+00,-17.71757317E+00,+2.44689854E+00
-21.67500E-03,+197.31558228E+00,+53.37866020E+00,-18.62133884E+00,+2.45442992E+00
-21.65000E-03,+197.91809273E+00,+53.37866020E+00,-19.22384930E+00,+2.44689854E+00
-21.62500E-03,+198.36997557E+00,+53.37866020E+00,-19.67573214E+00,+2.43936716E+00
-21.60000E-03,+199.72562408E+00,+53.37866020E+00,-20.73012543E+00,+2.44689854E+00
-21.57500E-03,+200.17750692E+00,+53.22803259E+00,-21.78451872E+00,+2.43936716E+00
-21.55000E-03,+200.32813454E+00,+52.77614975E+00,-21.93514633E+00,+2.45191946E+00
-21.52500E-03,+201.08127260E+00,+52.92677736E+00,-22.68828440E+00,+2.44187762E+00
-21.50000E-03,+201.53315544E+00,+53.98117065E+00,-22.53765678E+00,+2.45694038E+00
-21.47500E-03,+202.73817635E+00,+52.77614975E+00,-24.04393291E+00,+2.46196130E+00
-21.45000E-03,+202.73817635E+00,+52.77614975E+00,-24.34518814E+00,+2.45694038E+00
-21.42500E-03,+203.94319725E+00,+52.62552214E+00,-24.94769859E+00,+2.47200315E+00
-21.40000E-03,+204.54570770E+00,+52.17363930E+00,-26.15271950E+00,+2.45694038E+00
-21.37500E-03,+204.69633532E+00,+52.32426691E+00,-26.30334711E+00,+2.46447176E+00
-21.35000E-03,+205.75072861E+00,+52.77614975E+00,-27.05648518E+00,+2.46698222E+00
-21.32500E-03,+206.20261145E+00,+52.17363930E+00,-28.41213369E+00,+2.47451361E+00
-21.30000E-03,+205.75072861E+00,+52.17363930E+00,-27.35774040E+00,+2.47702407E+00
-21.27500E-03,+206.80512190E+00,+52.77614975E+00,-28.56276131E+00,+2.47451361E+00
-21.25000E-03,+207.25700474E+00,+51.87238407E+00,-29.46652699E+00,+2.46196130E+00
-21.22500E-03,+208.76328087E+00,+52.17363930E+00,-30.37029266E+00,+2.44940900E+00
-21.20000E-03,+208.16077042E+00,+51.57112885E+00,-30.37029266E+00,+2.47702407E+00
-21.17500E-03,+208.76328087E+00,+51.42050123E+00,-30.37029266E+00,+2.46196130E+00
-21.15000E-03,+209.36579132E+00,+51.26987362E+00,-31.57531357E+00,+2.45694038E+00
-21.12500E-03,+210.87206745E+00,+50.96861839E+00,-31.72594118E+00,+2.46698222E+00
-21.10000E-03,+210.57081223E+00,+50.96861839E+00,-32.17782402E+00,+2.47702407E+00
-21.07500E-03,+211.32395029E+00,+50.51673555E+00,-32.47907925E+00,+2.45191946E+00
-21.05000E-03,+211.77583313E+00,+51.26987362E+00,-33.38284493E+00,+2.45694038E+00
-21.02500E-03,+211.92646074E+00,+51.11924601E+00,-34.13598299E+00,+2.45442992E+00
-21.00000E-03,+211.77583313E+00,+51.57112885E+00,-33.98535538E+00,+2.46698222E+00
-20.97500E-03,+212.67959881E+00,+50.06485271E+00,-34.58786583E+00,+2.47953453E+00
-20.95000E-03,+213.28210926E+00,+50.66736317E+00,-34.58786583E+00,+2.48204499E+00
-20.92500E-03,+213.58336449E+00,+50.51673555E+00,-35.34100389E+00,+2.47451361E+00
-20.90000E-03,+214.18587494E+00,+49.76359749E+00,-35.19037628E+00,+2.47702407E+00
-20.87500E-03,+214.33650255E+00,+50.36610794E+00,-36.39539719E+00,+2.49710775E+00
-20.85000E-03,+213.88461971E+00,+49.76359749E+00,-36.39539719E+00,+2.49208683E+00
-20.82500E-03,+214.78838539E+00,+50.36610794E+00,-37.75104570E+00,+2.49459729E+00
-20.80000E-03,+215.39089584E+00,+49.76359749E+00,-37.60041809E+00,+2.50714959E+00
-20.77500E-03,+214.93901300E+00,+49.91422510E+00,-37.44979048E+00,+2.51719143E+00
-20.75000E-03,+215.39089584E+00,+49.76359749E+00,-38.20292854E+00,+2.50714959E+00
-20.72500E-03,+216.44528914E+00,+49.91422510E+00,-38.50418377E+00,+2.52472281E+00
-20.70000E-03,+215.99340630E+00,+49.76359749E+00,-38.20292854E+00,+2.53727511E+00
-20.67500E-03,+216.29466152E+00,+49.16108704E+00,-39.70920467E+00,+2.53978557E+00
-20.65000E-03,+216.89717197E+00,+50.06485271E+00,-39.10669422E+00,+2.53225419E+00
-20.62500E-03,+217.19842720E+00,+49.31171465E+00,-39.85983229E+00,+2.53978557E+00
-20.60000E-03,+216.59591675E+00,+50.36610794E+00,-39.40794945E+00,+2.54731696E+00
-20.57500E-03,+217.19842720E+00,+49.16108704E+00,-39.70920467E+00,+2.54229603E+00
-20.55000E-03,+217.49968243E+00,+48.85983181E+00,-40.31171513E+00,+2.54229603E+00
-20.52500E-03,+217.34905481E+00,+48.70920420E+00,-40.16108751E+00,+2.55233788E+00
-20.50000E-03,+218.40344810E+00,+47.95606613E+00,-40.01045990E+00,+2.53727511E+00
-20.47500E-03,+218.40344810E+00,+49.61296988E+00,-40.61297035E+00,+2.55735880E+00
-20.45000E-03,+218.10219288E+00,+49.46234226E+00,-41.21548080E+00,+2.55233788E+00
-20.42500E-03,+218.55407572E+00,+49.16108704E+00,-42.11924648E+00,+2.56991110E+00
-20.40000E-03,+218.40344810E+00,+48.55857658E+00,-41.21548080E+00,+2.57744248E+00
-20.37500E-03,+218.85533094E+00,+48.70920420E+00,-41.51673603E+00,+2.58497386E+00
-20.35000E-03,+218.70470333E+00,+48.55857658E+00,-41.51673603E+00,+2.57242156E+00
-20.32500E-03,+218.55407572E+00,+48.70920420E+00,-41.81799126E+00,+2.58497386E+00
-20.30000E-03,+219.60846901E+00,+48.55857658E+00,-41.81799126E+00,+2.60756800E+00
-20.27500E-03,+218.40344810E+00,+49.46234226E+00,-41.81799126E+00,+2.59501570E+00
-20.25000E-03,+218.40344811E+00,+49.16108704E+00,-41.81799126E+00,+2.60254708E+00
